,site_code,Taxon,mean.after.control.0,mean.after.drought.0,mean.before.control.0,mean.before.drought.0,drought.after.before,control.after.before,cover.change
1,allmendb.ch,ACHILLEA MILLEFOLIUM,1.833333333,1.25,1.333333333,1.875,-0.625,0.5,-1.125
2,allmendb.ch,ANTHYLLIS VULNERARIA,0.75,0,0.75,0,0,0,0
3,allmendb.ch,ASPERULA CYNANCHICA,0.25,0.25,0.25,0.25,0,0,0
4,allmendb.ch,BRACHYPODIUM PINNATUM,18.58333333,13,12,9.75,3.25,6.583333333,-3.333333333
5,allmendb.ch,BRIZA MEDIA,2.5,2.5,3.333333333,4.166666667,-1.666666667,-0.833333333,-0.833333333
6,allmendb.ch,BROMUS ERECTUS,17.25,22.08333333,18,26.25,-4.166666667,-0.75,-3.416666667
7,allmendb.ch,CAREX CARYOPHYLLEA,10.83333333,16.5,10.75,16.5,0,0.083333333,-0.083333333
8,allmendb.ch,CAREX FLACCA,4.375,0.25,4.25,0,0.25,0.125,0.125
9,allmendb.ch,CARLINA VULGARIS,0.25,0,0.25,0.5,-0.5,0,-0.5
10,allmendb.ch,CENTAUREA JACEA,2.333333333,1.5,1.916666667,1.5,0,0.416666667,-0.416666667
11,allmendb.ch,CENTAUREA SCABIOSA,5.166666667,7.25,5.5,6.083333333,1.166666667,-0.333333333,1.5
12,allmendb.ch,CREPIS BIENNIS,1.75,0.5,0.25,0.5,0,1.5,-1.5
13,allmendb.ch,ECHIUM VULGARE,0.25,0.375,0,1.75,-1.375,0.25,-1.625
14,allmendb.ch,EUPHORBIA CYPARISSIAS,0.25,2,0,3.25,-1.25,0.25,-1.5
15,allmendb.ch,FESTUCA OVINA,2.25,0.833333333,3.5,0.625,0.208333333,-1.25,1.458333333
16,allmendb.ch,GALIUM VERUM,0.833333333,0,3.75,0,0,-2.916666667,2.916666667
17,allmendb.ch,GLOBULARIA VULGARIS,1.75,0.375,1.583333333,0.25,0.125,0.166666667,-0.041666667
18,allmendb.ch,HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM,6.25,10.83333333,4.583333333,5.416666667,5.416666667,1.666666667,3.75
19,allmendb.ch,HELICTOTRICHON PRATENSE,2.75,4.25,2.666666667,2.75,1.5,0.083333333,1.416666667
20,allmendb.ch,HIPPOCREPIS COMOSA,12.5,10.41666667,7.5,5.833333333,4.583333333,5,-0.416666667
21,allmendb.ch,KNAUTIA ARVENSIS,0,1.5,0,1.5,0,0,0
22,allmendb.ch,LEUCANTHEMUM VULGARE,1.375,1.5,1,0.75,0.75,0.375,0.375
23,allmendb.ch,LINUM CATHARTICUM,2.5,2.083333333,4.583333333,3.25,-1.166666667,-2.083333333,0.916666667
24,allmendb.ch,LOTUS CORNICULATUS,0.916666667,1.333333333,0,1.916666667,-0.583333333,0.916666667,-1.5
25,allmendb.ch,MEDICAGO LUPULINA,1,0.25,0,0,0.25,1,-0.75
26,allmendb.ch,PIMPINELLA SAXIFRAGA,2.5,2.416666667,4,2.5,-0.083333333,-1.5,1.416666667
27,allmendb.ch,PLANTAGO LANCEOLATA,0.25,1,0.25,0.375,0.625,0,0.625
28,allmendb.ch,POLYGALA VULGARIS,2,1.416666667,0,0,1.416666667,2,-0.583333333
29,allmendb.ch,POTENTILLA GRANDIFLORA,0.916666667,0.666666667,0.375,0.75,-0.083333333,0.541666667,-0.625
30,allmendb.ch,PRUNELLA VULGARIS,17.83333333,14.08333333,13.58333333,9.166666667,4.916666667,4.25,0.666666667
31,allmendb.ch,RHINANTHUS MINOR,0.416666667,2,6.666666667,5.083333333,-3.083333333,-6.25,3.166666667
32,allmendb.ch,SALVIA PRATENSIS,1.125,3.25,1.5,2.375,0.875,-0.375,1.25
33,allmendb.ch,SANGUISORBA MINOR,2.666666667,2.5,4.5,6.083333333,-3.583333333,-1.833333333,-1.75
34,allmendb.ch,SCABIOSA COLUMBARIA,2.583333333,1,1.333333333,1.5,-0.5,1.25,-1.75
35,allmendb.ch,TARAXACUM TARAXACUM,0.5,0,0,0,0,0.5,-0.5
36,allmendb.ch,TEUCRIUM CHAMAEDRYS,1,5.75,0.5,14.75,-9,0.5,-9.5
37,allmendb.ch,THYMUS SERPYLLUM,2.166666667,1.666666667,2.416666667,2.166666667,-0.5,-0.25,-0.25
38,allmendb.ch,TRIFOLIUM MONTANUM,1,0.25,0.25,0.25,0,0.75,-0.75
39,allmendb.ch,TRIFOLIUM PRATENSE,1,0.75,0.583333333,0.583333333,0.166666667,0.416666667,-0.25
40,allmendo.ch,ACHILLEA MILLEFOLIUM,1.25,0.75,0.75,1.375,-0.625,0.5,-1.125
41,allmendo.ch,ANTHYLLIS VULNERARIA,0.875,1.5,1,2.166666667,-0.666666667,-0.125,-0.541666667
42,allmendo.ch,ASPERULA CYNANCHICA,0.416666667,2.375,0.375,1.375,1,0.041666667,0.958333333
43,allmendo.ch,BRACHYPODIUM PINNATUM,3.583333333,6.083333333,6.25,5.833333333,0.25,-2.666666667,2.916666667
44,allmendo.ch,BRIZA MEDIA,1.833333333,2.416666667,1.666666667,2.666666667,-0.25,0.166666667,-0.416666667
45,allmendo.ch,BROMUS ERECTUS,22.83333333,15.66666667,17.25,16.5,-0.833333333,5.583333333,-6.416666667
46,allmendo.ch,CAREX CARYOPHYLLEA,12.41666667,14.16666667,14.16666667,15.75,-1.583333333,-1.75,0.166666667
47,allmendo.ch,CAREX FLACCA,1.5,1.5,1.75,5,-3.5,-0.25,-3.25
48,allmendo.ch,CENTAUREA JACEA,1,2.25,1,0.583333333,1.666666667,0,1.666666667
49,allmendo.ch,CENTAUREA SCABIOSA,4.125,1.75,3,1.583333333,0.166666667,1.125,-0.958333333
50,allmendo.ch,EUPHORBIA CYPARISSIAS,2.25,1.75,2.25,0.25,1.5,0,1.5
51,allmendo.ch,FESTUCA OVINA,5.416666667,7.083333333,7.083333333,7.25,-0.166666667,-1.666666667,1.5
52,allmendo.ch,GALIUM VERUM,1.75,0.875,1.416666667,1.375,-0.5,0.333333333,-0.833333333
53,allmendo.ch,GLOBULARIA VULGARIS,0.583333333,1.333333333,0.375,0.375,0.958333333,0.208333333,0.75
54,allmendo.ch,GYPSOPHILA REPENS,0.25,0.5,0,0,0.5,0.25,0.25
55,allmendo.ch,HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM,5.833333333,5.416666667,3.666666667,4.166666667,1.25,2.166666667,-0.916666667
56,allmendo.ch,HELICTOTRICHON PRATENSE,1.083333333,3.75,1.75,3.833333333,-0.083333333,-0.666666667,0.583333333
57,allmendo.ch,HIPPOCREPIS COMOSA,5.333333333,2.833333333,6.666666667,4.166666667,-1.333333333,-1.333333333,4.44E-16
58,allmendo.ch,LINUM CATHARTICUM,2.083333333,1.666666667,5.416666667,6.25,-4.583333333,-3.333333333,-1.25
59,allmendo.ch,LOTUS CORNICULATUS,0.625,0.375,0.75,0.25,0.125,-0.125,0.25
60,allmendo.ch,MEDICAGO LUPULINA,0.25,0,0,0,0,0.25,-0.25
61,allmendo.ch,PIMPINELLA SAXIFRAGA,2.333333333,2.166666667,1.916666667,2.25,-0.083333333,0.416666667,-0.5
62,allmendo.ch,PLANTAGO LANCEOLATA,0.75,0.75,0.416666667,0.25,0.5,0.333333333,0.166666667
63,allmendo.ch,POLYGALA VULGARIS,0.375,0.5,0,0.25,0.25,0.375,-0.125
64,allmendo.ch,POTENTILLA GRANDIFLORA,5.25,3.25,1.75,0.416666667,2.833333333,3.5,-0.666666667
65,allmendo.ch,PRUNELLA VULGARIS,7.916666667,4.166666667,5.75,6.25,-2.083333333,2.166666667,-4.25
66,allmendo.ch,RHINANTHUS MINOR,1.083333333,0.833333333,2.333333333,3.416666667,-2.583333333,-1.25,-1.333333333
67,allmendo.ch,SALVIA PRATENSIS,0.5,3.875,0,2.625,1.25,0.5,0.75
68,allmendo.ch,SANGUISORBA MINOR,0,0.5,0,0.5,0,0,0
69,allmendo.ch,SCABIOSA COLUMBARIA,0.25,1.625,0.416666667,1,0.625,-0.166666667,0.791666667
70,allmendo.ch,TEUCRIUM CHAMAEDRYS,3.833333333,2.583333333,2.083333333,1.25,1.333333333,1.75,-0.416666667
71,allmendo.ch,TEUCRIUM MONTANUM,7.25,0,3.5,0.5,-0.5,3.75,-4.25
72,allmendo.ch,THYMUS SERPYLLUM,1.5,1.833333333,1,0.416666667,1.416666667,0.5,0.916666667
73,allmendo.ch,TRIFOLIUM MONTANUM,0.666666667,0.5,1.083333333,0.25,0.25,-0.416666667,0.666666667
74,antelope.us,BASSIA SCOPARIA,0.045714286,0.70375,0,0,0.70375,0.045714286,0.658035714
75,antelope.us,CHONDROSUM ERIOPODUM,5.95625,5.68125,0,0,5.68125,5.95625,-0.275
76,antelope.us,HILARIA JAMESII,4.2125,1.975,0,0,1.975,4.2125,-2.2375
77,antelope.us,MENTZELIA MONTANA,0.131428571,0.368333333,0,0,0.368333333,0.131428571,0.236904762
78,antelope.us,POMARIA JAMESII,1,0,0,0,0,1,-1
79,antelope.us,SALSOLA KALI,0.25,0.933333333,0,0,0.933333333,0.25,0.683333333
80,antelope.us,SPHAERALCEA HASTULATA,0.05,2,0,0,2,0.05,1.95
81,ayora.es,APHYLLANTHES MONSPELIENSIS,0,1,0,0,1,0,1
82,ayora.es,ARGYROLOBIUM ZANONII,1,1,0,0,1,1,0
83,ayora.es,ASPERULA ARISTATA,1,0,0,0,0,1,-1
84,ayora.es,BRACHYPODIUM RETUSUM,10.16666667,24.33333333,0,0,24.33333333,10.16666667,14.16666667
85,ayora.es,CAREX DISTACHYA,7.5,2.5,0,0,2.5,7.5,-5
86,ayora.es,CISTUS ALBIDUS,11.66666667,14.66666667,0,0,14.66666667,11.66666667,3
87,ayora.es,CISTUS CLUSII,4.5,5,0,0,5,4.5,0.5
88,ayora.es,CORIS MONSPELIENSIS,1,0,0,0,0,1,-1
89,ayora.es,DORYCNIUM PENTAPHYLLUM,9.2,8,0,0,8,9.2,-1.2
90,ayora.es,FUMANA ERICIFOLIA,10.6,1.666666667,0,0,1.666666667,10.6,-8.933333333
91,ayora.es,FUMANA LAEVIPES,2.5,0,0,0,0,2.5,-2.5
92,ayora.es,FUMARIA CAPREOLATA,1.6,1,0,0,1,1.6,-0.6
93,ayora.es,GALIUM LUCIDUM,1,2.5,0,0,2.5,1,1.5
94,ayora.es,GLADIOLUS ILLYRICUS,2,0,0,0,0,2,-2
95,ayora.es,HELIANTHEMUM APENNINUM,0,1,0,0,1,0,1
96,ayora.es,HELIANTHEMUM CINEREUM,2.5,3,0,0,3,2.5,0.5
97,ayora.es,HELICTOTRICHON FILIFOLIUM,17,7,0,0,7,17,-10
98,ayora.es,LINUM SUFFRUTICOSUM,7.5,3,0,0,3,7.5,-4.5
