"","site_code","Taxon","mean.before.control","mean.before.drought","mean.after.control","mean.after.drought","drought.after.minus.before","control.after.minus.before","cover.change"
"1","kiskun.hu","HOLOSTEUM UMBELLATUM",0.01,0.01,0.702,0.04,0.03,0.692,-0.662
"2","kiskun.hu","SALSOLA KALI",0.01,0.01,0,0,-0.01,-0.01,0
"3","passogavia.it","PERSICARIA VIVIPARA",1.025,0.02,1.05,0.1,0.08,0.0250000000000001,0.0549999999999999
"4","passogavia.it","EUPHRASIA MINIMA",0.1125,0.023333333,0.0125,0.01,-0.013333333,-0.1,0.086666667
"5","nnss.us","CHORIZANTHE RIGIDA",0.296333533,0.0681663,0.3472222,0.2061856,0.1380193,0.050888667,0.087130633
"6","ebro.es","TEUCRIUM CAPITATUM",0.564906222,0.072867667,1.137641351,0.152425778,0.079558111,0.572735129,-0.493177018
"7","passogavia.it","GNAPHALIUM SUPINUM",0.055,0.1,0.053333333,0.075,-0.025,-0.001666667,-0.023333333
"8","ebro.es","HELICHRYSUM STOECHAS",0.027052667,0.109083334,0.0281435,0.2258025,0.116719166,0.001090833,0.115628333
"9","ebro.es","POLYGALA RUPESTRIS",0.014544445,0.125664,0.191550334,0.494511111,0.368847111,0.177005889,0.191841222
"10","jrnchi.us","PHEMERANTHUS AURANTIACUS",0.0685871,0.1368925,0,0,-0.1368925,-0.0685871,-0.0683054
"11","nnss.us","MONOPTILON BELLIDIFORME",0.1191883,0.13729085,0.1546705,0.3436426,0.20635175,0.0354822,0.17086955
"12","nnss.us","VULPIA OCTOFLORA",0.2073287,0.13819435,0,0,-0.13819435,-0.2073287,0.06913435
"13","nnss.us","CHYLISMIA CLAVIFORMIS",0.2020202,0.1612391,0.2053388,0.2083333,0.0470942,0.00331859999999998,0.0437756
"14","nnss.us","CRYPTANTHA PTEROCARYA",0.64898376,0.22843085,0,0,-0.22843085,-0.64898376,0.42055291
"15","kiskun.hu","SYRENIA CANA",0.17,0.25,0.1,0.15,-0.1,-0.07,-0.03
"16","allmendb.ch","ASPERULA CYNANCHICA",0.25,0.25,0.25,0.25,0,0,0
"17","allmendb.ch","TRIFOLIUM MONTANUM",0.25,0.25,1,0.25,0,0.75,-0.75
"18","allmendo.ch","LOTUS CORNICULATUS",0.75,0.25,0.625,0.375,0.125,-0.125,0.25
"19","allmendb.ch","GLOBULARIA VULGARIS",1.583333333,0.25,1.75,0.375,0.125,0.166666667,-0.0416666670000001
"20","allmendo.ch","TRIFOLIUM MONTANUM",1.083333333,0.25,0.666666667,0.5,0.25,-0.416666666,0.666666666
"21","allmendo.ch","POLYGALA VULGARIS",0,0.25,0.375,0.5,0.25,0.375,-0.125
"22","allmendo.ch","PLANTAGO LANCEOLATA",0.416666667,0.25,0.75,0.75,0.5,0.333333333,0.166666667
"23","allmendo.ch","EUPHORBIA CYPARISSIAS",2.25,0.25,2.25,1.75,1.5,0,1.5
"24","nnss.us","SCHISMUS ARABICUS",0.3067008,0.25714855,2.27615137,0.320392533,0.063243983,1.96945057,-1.906206587
"25","nnss.us","LOESELIASTRUM SCHOTTII",0.0685167,0.27351615,0.389588286,0.0687285,-0.20478765,0.321071586,-0.525859236
"26","yarradrt.au","SENECIO MADAGASCARIENSIS",0.5,0.3,2,15,14.7,1.5,13.2
"27","allmendb.ch","PLANTAGO LANCEOLATA",0.25,0.375,0.25,1,0.625,0,0.625
"28","allmendo.ch","GLOBULARIA VULGARIS",0.375,0.375,0.583333333,1.333333333,0.958333333,0.208333333,0.75
"29","nnss.us","ERIOGONUM MACULATUM",1.5137421,0.3792902,1.562988243,0.6872779,0.3079877,0.049246143,0.258741557
"30","passogavia.it","PRIMULA GLUTINOSA",0.6,0.4,0.98,0.75,0.35,0.38,-0.03
"31","jrnchi.us","PHYSALIS HEDERIFOLIA",0.69929288,0.41075845,0.44768225,0.0687285,-0.34202995,-0.25161063,-0.09041932
"32","nnss.us","CRYPTANTHA CIRCUMSCISSA",0.19404304,0.41422252,1.06477779,0.27386215,-0.14036037,0.87073475,-1.01109512
"33","allmendo.ch","THYMUS SERPYLLUM",1,0.416666667,1.5,1.833333333,1.416666666,0.5,0.916666666
"34","allmendo.ch","POTENTILLA GRANDIFLORA",1.75,0.416666667,5.25,3.25,2.833333333,3.5,-0.666666667
"35","ebro.es","HERNIARIA FRUTICOSA",0.589631778,0.464549556,0.857831333,0.613775556,0.149226,0.268199555,-0.118973555
