,site_code,Taxon,mean.before.control,mean.before.drought,mean.after.control,mean.after.drought,drought.after.minus.before,control.after.minus.before,cover.change,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.all.g.cm3,SRL.all.m.g,rootDiam.mm,SRL_fine_m.g,RTD.fine.g.cm3,RMF.g.g,RTD.groot.cahill.merge,SRL.groot.cahill.merge,Notes,,,,,,
556,milparinka.au,ABUTILON HALOPHILUM,12.5,3,12.5,3,0,0,0,,1,,7.966675479,,,,,,,,,,"height, SLA from austraits",,,,,,
844,quilpie.au,ABUTILON HALOPHILUM,21.66666667,18.33333333,5.666666667,5,-13.33333333,-16,2.666666673,,1,,7.966675479,,,,,,,,,,"height, SLA from austraits",,,,,,
136,gmmolar.us,ACACIA GREGGII,0.5,0.5,0,0,-0.5,-0.5,0,30.38475,7.78785,,34.95352095,5.5,,52.9631553,,,,0.248572826,,52.9631553,"SRL, RMF from groot","leafN, height, SLA from Carmona 2021",depth from Stromberg 2013,,,,
77,jilpanger.au,ACAENA ECHINATA,1.8,0.5,5.3,0.5,0,3.5,-3.5,,0.3384125,,13.19,,,,,,,,,,"height, SLA from austraits",,,,,,
241,paike.ar,ACAENA POEPPIGIANA,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,
1039,ukulingadrt.za,ACALYPHA ANGUSTATA,3,0,0,2,2,-3,5,,,,,,,,,,,,,,,,,,,,
388,nnss.us,ACAMPTOPAPPUS SHOCKLEYI,3.0864198,1.4285714,1.5120275,1.3774105,-0.0511609,-1.5743923,1.5232314,24.8,,,,0.4,,,,,,,,,leafN from TRY,depth from groot,,,,,
1016,cowidrt.ca,ACER MACROPHYLLUM,0,0,2,1,1,2,-1,26.4,20.17066667,15,29.548,0.6096,,,,,,,,,"leafN, height, SLA, depth from TRY",rootN from groot,,,,,
95,matador.ca,ACHILLEA MILLEFOLIUM,0.75,0.5,0.5,1,0.5,-0.25,0.75,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,
187,oreac.us,ACHILLEA MILLEFOLIUM,4.833333333,0.666666667,2.666666667,1.833333333,1.166666666,-2.166666666,3.333333332,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,
265,cedartrait.us,ACHILLEA MILLEFOLIUM,3.5,1,1,1,0,-2.5,2.5,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,
379,allmendo.ch,ACHILLEA MILLEFOLIUM,0.75,1.375,1.25,0.75,-0.625,0.5,-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,
440,allmendb.ch,ACHILLEA MILLEFOLIUM,1.333333333,1.875,1.833333333,1.25,-0.625,0.5,-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,
456,kernb.ca,ACHILLEA MILLEFOLIUM,1,2,1.333333333,2.666666667,0.666666667,0.333333333,0.333333334,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,
604,elvadrt.ee,ACHILLEA MILLEFOLIUM,5,3.666666667,2,6.666666667,3,-3,6,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,
650,brookdale.ca,ACHILLEA MILLEFOLIUM,5,5,1,1.5,-3.5,-4,0.5,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,
704,hard.us,ACHILLEA MILLEFOLIUM,0,6.25,1,2,-4.25,1,-5.25,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,
854,cmss.us,ACHILLEA MILLEFOLIUM,0,20,2,0,-20,2,-22,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,
351,sclaudio.ar,ACMELLA DECUMBENS,0,1,0.25,0,-1,0.25,-1.25,,,,,,,,,,,,,,,,,,,,
993,marcdrt.ar,ACMELLA DECUMBENS,2.333333333,0,3,1,1,0.666666667,0.333333333,,,,,,,,,,,,,,,,,,,,
451,oreac.us,ACMISPON AMERICANUS,0.75,2,0.5,2,0,-0.25,0.25,,,,18.35535977,,,,0.481,91.1,0.061,0.516,0.061,91.1,"SLA, diam, SRL fine, RTD fine, RMF from Sebastian 2023",,,,,,
980,capwhite.us,ACMISPON MARITIMUS,0,0,1.25,0.875,0.875,1.25,-0.375,,,,,,,,,,,,,,,,,,,,
985,cowidrt.ca,ACMISPON PARVIFLORUS,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
368,gmgranite.us,ACMISPON STRIGOSUS,2.214285714,1.333333333,0,0.5,-0.833333333,-2.214285714,1.380952381,29.9,0.0756,,21.8,,,,0.454,93.7,0.067,0.522,0.067,93.7,"leafN, height, SLA from Justin","diam, SRL fine, RTD fine, RMF from Sebastian 2023",,,,,
539,gmmolar.us,ACMISPON STRIGOSUS,3.416666667,2.771428571,0,0,-2.771428571,-3.416666667,0.645238096,29.9,0.0756,,21.8,,,,0.454,93.7,0.067,0.522,0.067,93.7,"leafN, height, SLA from Justin","diam, SRL fine, RTD fine, RMF from Sebastian 2023",,,,,
517,jrnchi.us,ACOURTIA NANA,0.9663452,2.4220811,1.1698078,0.6207045,-1.8013766,0.2034626,-2.0048392,18.76667,,,,,,,,,,,,,leafN from TRY,,,,,,
319,cobar.au,ACTINOBOLE ULIGINOSUM,1,1,0,0,-1,-1,0,,0.015,,18.51241452,,,,,,,,,,"height, SLA from TRY",,,,,,
574,brokenh.au,ACTINOBOLE ULIGINOSUM,4.333333333,3,0,0,-3,-4.333333333,1.333333333,,0.015,,18.51241452,,,,,,,,,,"height, SLA from TRY",,,,,,
302,ukulingadrt.za,AFROASTER HISPIDA,0,1,3,7,6,3,3,,,,,,,,,,,,,,,,,,,,
144,matador.ca,AGOSERIS GLAUCA,0.5,0.5,0,0,-0.5,-0.5,0,17.2,0.2844,11.68,19.43598453,0.1524,0.126310185,56.33396327,,56.33396667,,0.477367848,,56.33396667,"height, rootN, SLA from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x40","depth, RMF from TRY",SRL from groot,leafN from Laughlin 2010,SRL fine from CoREE,RTD from Blonder 2018,
238,lygraint.no,AGROSTIS CANINA,1,1,1,1,0,0,0,20.86288625,0.4223,9.3,31.98710699,0.254,0.28,,0.15,,,0.34295,,,"leafN, height, rootN, SLA, depth, diam, RTD, RMF from TRY",,,,,,
261,lygraint.no,AGROSTIS CAPILLARIS,2,1,1,1,0,-1,1,27.65006595,0.393022873,8.907142857,44.73267142,0.3048,0.230872486,141.2639378,0.128571429,141.2639378,0.153459029,0.425077037,0.153459029,141.2639378,"leafN, height, rootN, SLA, depth, diam, RTD fine from TRY","RTD, SRL, RMF from groot",,,,,
486,rhijn.nl,AGROSTIS GIGANTEA,4,2,0,0,-2,-4,2,16.68362333,0.935333333,,26.28771712,0.3556,,,,,,0.387208633,,,"leafN, height, SLA from Teshio PI",depth from TRY,RMF from groot,,,,
242,paike.ar,AGROSTIS INCONSPICUA,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,
873,marcdrt.ar,AGROSTIS MONTEVIDENSIS,20,25,8,5.5,-19.5,-12,-7.5,,0.229358974,,12,,,,,,,,,,height from TRY,SLA from Cruz 2019,,,,,
206,passogavia.it,AGROSTIS RUPESTRIS,1.54,0.8,2.5,1.7,0.9,0.96,-0.06,16.9302,0.035,,15.5,,,,,,,,,,"height, SLA from TRY",leafN from Cerabolini 2010,,,,,
414,cedartrait.us,AGROSTIS SCABRA,2.333333333,1.5,0,0,-1.5,-2.333333333,0.833333333,31.62,0.274,9.366666667,17.29816561,0.3048,0.49746531,122.5050657,0.21,,0.2,,0.2,122.5050657,"leafN, height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x45","depth, RTD fine from TRY",diam from groot,,,
