"","site_code","Taxon","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","rootDiam.mm","SRL.groot.cahill.merge","RTD.groot.cahill.merge","RMF.g.g","local_lifespan","local_lifeform","functional_group","plant_id","impute.leafN.mg.g","impute.height.m","impute.rootN.mg.g","impute.SLA_m2.kg","impute.root.depth_m","impute.rootDiam.mm","impute.SRL.groot.cahill.merge","impute.RTD.groot.cahill.merge","impute.RMF.g.g","leafN.final","height.final","rootN.final","SLA.final","root.depth.final","rootDiam.final","SRL.final","RTD.final","RMF.final"
"1","cobar.au","ACTINOBOLE ULIGINOSUM",0,NA,0.015,NA,18.51241452,NA,NA,NA,NA,NA,"ANNUAL","FORB","FORB",21,18.0514393369821,0.0326984079048482,8.77890131833856,19.9199869094116,0.36993629609655,0.431108188609835,82.3218814147434,0.19810295121255,0.444422618420621,18.0514393369821,0.015,8.77890131833856,18.51241452,0.36993629609655,0.431108188609835,82.3218814147434,0.19810295121255,0.444422618420621
"2","brokenh.au","ACTINOBOLE ULIGINOSUM",1.333333333,NA,0.015,NA,18.51241452,NA,NA,NA,NA,NA,"ANNUAL","FORB","FORB",22,18.0846864928973,0.037402742011477,8.83082459636789,19.6050094875142,0.377225445763925,0.429730877503644,81.6486683054703,0.196979279455017,0.440305886610527,18.0846864928973,0.015,8.83082459636789,18.51241452,0.377225445763925,0.429730877503644,81.6486683054703,0.196979279455017,0.440305886610527
"3","brokenh.au","ALTERNANTHERA SESSILIS",0.5,20,0.3,9.62,13.2,NA,0.292,46.03,0.324,NA,"ANNUAL","FORB","FORB",40,20.9298749175938,0.307955481106607,9.70736051784942,13.0392338818974,0.612922781248726,0.281525210933718,41.8299770023968,0.328693559515451,0.237551075119005,20,0.3,9.62,13.2,0.612922781248726,0.292,46.03,0.324,0.237551075119005
"4","nplatte.us","ALYSSUM DESERTORUM",0,NA,0.1,NA,27.17578947,NA,NA,NA,NA,NA,"ANNUAL","FORB","FORB",41,31.6214039011594,0.250490055634078,13.7107146086018,23.9959303746588,0.929740680157439,0.321015959661687,152.72031539612,0.0961720437650777,0.528592247940871,31.6214039011594,0.1,13.7107146086018,27.17578947,0.929740680157439,0.321015959661687,152.72031539612,0.0961720437650777,0.528592247940871
"5","cedarsav.us","AMBROSIA ARTEMISIIFOLIA",-6.5,23.1,0.226,15.077975,21.40066874,1.22,0.36,135,0.08,NA,"ANNUAL","FORB","FORB",42,23.9644701378926,0.247448467557917,14.0184943373563,20.7449726403611,1.19412146623615,0.367487915439346,138.899750604503,0.0948715171046667,0.446364901428094,23.1,0.226,15.077975,21.40066874,1.22,0.36,135,0.08,0.446364901428094
"6","capmcd.us","AMBROSIA DELTOIDEA",0,44.19,0.4,NA,2.617596281,1.085,NA,NA,NA,NA,"ANNUAL","FORB","FORB",43,41.1650321834494,0.430403170450356,12.1130467386383,3.30751524201562,1.05915459496233,0.341361415840482,48.2394150393264,0.327704783397873,0.402724259709807,44.19,0.4,12.1130467386383,2.617596281,1.085,0.341361415840482,48.2394150393264,0.327704783397873,0.402724259709807
"7","capwhite.us","AMBROSIA DELTOIDEA",0,44.19,0.4,NA,2.617596281,1.085,NA,NA,NA,NA,"ANNUAL","FORB","FORB",44,39.9934387075148,0.421151485738519,12.0802960556468,3.26615862331414,1.06571237102757,0.341918333613999,47.5878538128795,0.330897384448546,0.402924654862763,44.19,0.4,12.0802960556468,2.617596281,1.085,0.341918333613999,47.5878538128795,0.330897384448546,0.402924654862763
"8","scruzh.us","ANAGALLIS ARVENSIS",3.490905725,25.24965,0.187,NA,28.54781609,0.315,NA,74.80456747,NA,NA,"ANNUAL","FORB","FORB",51,24.7599453786682,0.129355086895783,13.2009675049845,26.5718698320812,0.283375222660583,0.350368803323263,86.867144334898,0.447538821018431,0.315228783541111,25.24965,0.187,13.2009675049845,28.54781609,0.315,0.350368803323263,74.80456747,0.447538821018431,0.315228783541111
"9","kernb.ca","ANDROSACE SEPTENTRIONALIS",0,19.5,0.009,12.29704857,21.53583333,0.1,NA,155.7514351,0.556349207,NA,"ANNUAL","FORB","FORB",57,19.5826022358341,0.00958605266780567,12.6772542494612,21.6237017891291,0.102848074241766,0.346968498677787,153.460863850281,0.536839645143643,0.360579056428193,19.5,0.009,12.29704857,21.53583333,0.1,0.346968498677787,155.7514351,0.556349207,0.360579056428193
"10","mattheis.ca","ANDROSACE SEPTENTRIONALIS",0,19.5,0.009,12.29704857,21.53583333,0.1,NA,155.7514351,0.556349207,NA,"ANNUAL","FORB","FORB",58,19.5580110096767,0.00973668313483594,12.7000481335444,21.5574381938647,0.103496321589289,0.347486697533603,153.597977902316,0.536722356983801,0.360537070448233,19.5,0.009,12.29704857,21.53583333,0.1,0.347486697533603,155.7514351,0.556349207,0.360537070448233
