"","site_code","Taxon","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","rootDiam.mm","SRL.groot.cahill.merge","RTD.groot.cahill.merge","RMF.g.g","local_lifespan","local_lifeform","functional_group"
"4","matador.ca","ACHILLEA MILLEFOLIUM",0.75,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"5","oreac.us","ACHILLEA MILLEFOLIUM",3.333333332,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"6","cedartrait.us","ACHILLEA MILLEFOLIUM",2.5,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"7","allmendo.ch","ACHILLEA MILLEFOLIUM",-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"8","allmendb.ch","ACHILLEA MILLEFOLIUM",-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"9","kernb.ca","ACHILLEA MILLEFOLIUM",0.333333334,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"10","elvadrt.ee","ACHILLEA MILLEFOLIUM",6,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"11","brookdale.ca","ACHILLEA MILLEFOLIUM",0.5,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"12","hard.us","ACHILLEA MILLEFOLIUM",-5.25,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"13","cmss.us","ACHILLEA MILLEFOLIUM",-22,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"27","lygraint.no","AGROSTIS CAPILLARIS",1,27.65006595,0.393022873,8.907142857,44.73267142,0.3048,0.128571429,141.2639378,0.153459029,0.425077037,"PERENNIAL","GRASS","GRASS"
"35","cedartrait.us","AGROSTIS STOLONIFERA",2.666666667,31.5111841,0.385,4.9,16.89577067,0.3048,0.1,11.32952711,0.239,0.363783369,"PERENNIAL","GRASS","GRASS"
"36","elvadrt.ee","AGROSTIS STOLONIFERA",0,31.5111841,0.385,4.9,16.89577067,0.3048,0.1,11.32952711,0.239,0.363783369,"PERENNIAL","GRASS","GRASS"
