"","site_code","Taxon","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","rootDiam.mm","SRL.groot.cahill.merge","RTD.groot.cahill.merge","RMF.g.g","local_lifespan","local_lifeform","functional_group"
"1","jilpanger.au","ACAENA ECHINATA",-3.5,NA,0.3384125,NA,13.19,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"2","paike.ar","ACAENA POEPPIGIANA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"3","ukulingadrt.za","ACALYPHA ANGUSTATA",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"4","matador.ca","ACHILLEA MILLEFOLIUM",0.75,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"5","oreac.us","ACHILLEA MILLEFOLIUM",3.333333332,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"6","cedartrait.us","ACHILLEA MILLEFOLIUM",2.5,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"7","allmendo.ch","ACHILLEA MILLEFOLIUM",-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"8","allmendb.ch","ACHILLEA MILLEFOLIUM",-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"9","kernb.ca","ACHILLEA MILLEFOLIUM",0.333333334,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"10","elvadrt.ee","ACHILLEA MILLEFOLIUM",6,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"11","brookdale.ca","ACHILLEA MILLEFOLIUM",0.5,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"12","hard.us","ACHILLEA MILLEFOLIUM",-5.25,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"13","cmss.us","ACHILLEA MILLEFOLIUM",-22,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"14","sclaudio.ar","ACMELLA DECUMBENS",-1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"15","marcdrt.ar","ACMELLA DECUMBENS",0.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"16","oreac.us","ACMISPON AMERICANUS",0.25,NA,NA,NA,18.35535977,NA,0.481,91.1,0.061,0.516,"ANNUAL","FORB","LEGUME"
"17","capwhite.us","ACMISPON MARITIMUS",-0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANNUAL","LEGUME","LEGUME"
"18","cowidrt.ca","ACMISPON PARVIFLORUS",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANNUAL","FORB","LEGUME"
"19","gmgranite.us","ACMISPON STRIGOSUS",1.380952381,29.9,0.0756,NA,21.8,NA,0.454,93.7,0.067,0.522,"ANNUAL","FORB","LEGUME"
"20","gmmolar.us","ACMISPON STRIGOSUS",0.645238096,29.9,0.0756,NA,21.8,NA,0.454,93.7,0.067,0.522,"ANNUAL","FORB","LEGUME"
"21","jrnchi.us","ACOURTIA NANA",-2.0048392,18.76667,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"22","cobar.au","ACTINOBOLE ULIGINOSUM",0,NA,0.015,NA,18.51241452,NA,NA,NA,NA,NA,"ANNUAL","FORB","FORB"
"23","brokenh.au","ACTINOBOLE ULIGINOSUM",1.333333333,NA,0.015,NA,18.51241452,NA,NA,NA,NA,NA,"ANNUAL","FORB","FORB"
"24","ukulingadrt.za","AFROASTER HISPIDA",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"25","matador.ca","AGOSERIS GLAUCA",0,17.2,0.2844,11.68,19.43598453,0.1524,NA,56.33396667,NA,0.477367848,"PERENNIAL","FORB","FORB"
"26","lygraint.no","AGROSTIS CANINA",0,20.86288625,0.4223,9.3,31.98710699,0.254,0.15,NA,NA,0.34295,"PERENNIAL","GRASS","GRASS"
"27","lygraint.no","AGROSTIS CAPILLARIS",1,27.65006595,0.393022873,8.907142857,44.73267142,0.3048,0.128571429,141.2639378,0.153459029,0.425077037,"PERENNIAL","GRASS","GRASS"
"28","rhijn.nl","AGROSTIS GIGANTEA",2,16.68362333,0.935333333,NA,26.28771712,0.3556,NA,NA,NA,0.387208633,"PERENNIAL","GRASS","GRASS"
"29","paike.ar","AGROSTIS INCONSPICUA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","GRASS","GRASS"
"30","marcdrt.ar","AGROSTIS MONTEVIDENSIS",-7.5,NA,0.229358974,NA,12,NA,NA,NA,NA,NA,"PERENNIAL","FORB","GRASS"
"31","passogavia.it","AGROSTIS RUPESTRIS",-0.06,16.9302,0.035,NA,15.5,NA,NA,NA,NA,NA,"PERENNIAL","GRASS","GRASS"
"32","cedartrait.us","AGROSTIS SCABRA",0.833333333,31.62,0.274,9.366666667,17.29816561,0.3048,0.21,122.5050657,0.2,NA,"PERENNIAL","GRASS","GRASS"
"33","kernb.ca","AGROSTIS SCABRA",-0.5,31.62,0.274,9.366666667,17.29816561,0.3048,0.21,122.5050657,0.2,NA,"PERENNIAL","GRAMINOID","GRASS"
"34","mattheis.ca","AGROSTIS SCABRA",-1.5,31.62,0.274,9.366666667,17.29816561,0.3048,0.21,122.5050657,0.2,NA,"PERENNIAL","GRASS","GRASS"
"35","cedartrait.us","AGROSTIS STOLONIFERA",2.666666667,31.5111841,0.385,4.9,16.89577067,0.3048,0.1,11.32952711,0.239,0.363783369,"PERENNIAL","GRASS","GRASS"
"36","elvadrt.ee","AGROSTIS STOLONIFERA",0,31.5111841,0.385,4.9,16.89577067,0.3048,0.1,11.32952711,0.239,0.363783369,"PERENNIAL","GRASS","GRASS"
"37","jilpanger.au","AIRA ELEGANTISSIMA",0.125,NA,0.29175,NA,25.83835367,0.066,0.228,760.85,NA,0.185924967,"ANNUAL","GRASS","GRASS"
"38","passogavia.it","ALCHEMILLA PENTAPHYLLEA",2.8,37.4,0.07,NA,21,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"39","kiskun.hu","ALKANNA TINCTORIA",1.833333334,11.2,0.4,NA,31.44654088,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"40","cerrillos.ar","ALLIONIA INCARNATA",0.31,NA,0.04,NA,17.44222169,0.37,NA,10.31,NA,NA,"PERENNIAL","FORB","FORB"
"41","oreaa.us","ALLIUM ACUMINATUM",1.5,19.3,0.3048,NA,8.45,0.1524,1.64,NA,NA,NA,"PERENNIAL","FORB","FORB"
"42","rhijn.nl","ALLIUM VINEALE",0,NA,0.5375,NA,16.97482573,0.7,NA,NA,NA,0.3951,"PERENNIAL","FORB","FORB"
"43","brokenh.au","ALTERNANTHERA SESSILIS",0.5,20,0.3,9.62,13.2,NA,0.292,46.03,0.324,NA,"ANNUAL","FORB","FORB"
"44","nplatte.us","ALYSSUM DESERTORUM",0,NA,0.1,NA,27.17578947,NA,NA,NA,NA,NA,"ANNUAL","FORB","FORB"
"45","cedarsav.us","AMBROSIA ARTEMISIIFOLIA",-6.5,23.1,0.226,15.077975,21.40066874,1.22,0.36,135,0.08,NA,"ANNUAL","FORB","FORB"
"46","capmcd.us","AMBROSIA DELTOIDEA",0,44.19,0.4,NA,2.617596281,1.085,NA,NA,NA,NA,"ANNUAL","FORB","FORB"
"47","capwhite.us","AMBROSIA DELTOIDEA",0,44.19,0.4,NA,2.617596281,1.085,NA,NA,NA,NA,"ANNUAL","FORB","FORB"
"48","cedarsav.us","AMBROSIA PSILOSTACHYA",-4.833333333,26.3,0.359666667,12.898947,18.22,0.99,0.443566667,72.86941615,0.373588,NA,"PERENNIAL","FORB","FORB"
"49","konzadrt.us","AMBROSIA PSILOSTACHYA",-16.2,26.3,0.359666667,12.898947,18.22,0.99,0.443566667,72.86941615,0.373588,NA,"PERENNIAL","FORB","FORB"
"50","marcdrt.ar","AMBROSIA TENUIFOLIA",11.66666667,28.1,0.533333333,NA,11.245,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"51","cedartrait.us","AMORPHA CANESCENS",0.666666667,21.77,0.446,27.18327333,13.80561828,0.508,0.194,6.160976759,0.585778,0.340163729,"PERENNIAL","FORB","LEGUME"
"52","cedarsav.us","AMORPHA CANESCENS",4.583333334,21.77,0.446,27.18327333,13.80561828,0.508,0.194,6.160976759,0.585778,0.340163729,"PERENNIAL","FORB","LEGUME"
"53","gmgranite.us","AMSINCKIA TESSELLATA",-0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANNUAL","FORB","FORB"
"54","gmmolar.us","AMSINCKIA TESSELLATA",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANNUAL","FORB","FORB"
"55","nnss.us","AMSINCKIA TESSELLATA",-2.14144696,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANNUAL","FORB","FORB"
"56","scruzh.us","ANAGALLIS ARVENSIS",3.490905725,25.24965,0.187,NA,28.54781609,0.315,NA,74.80456747,NA,NA,"ANNUAL","FORB","FORB"
