"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.2482	-0.0043	0.2091	-0.6502	-0.5531	0.4493	-1.3343	1.0337	0.1852
-0.5229	-0.6767	-0.1407	0.9761	-0.7866	1.4333	0.2186	0.0904	0.911
-0.4859	-0.6752	-0.133	0.9832	-0.7861	1.4331	0.2177	0.1008	0.9118
-0.521	-0.6673	-0.1421	0.979	-0.7934	1.4035	0.2207	0.0999	0.9134
-0.5153	-0.6715	-0.1441	0.9723	-0.7844	1.3962	0.2149	0.1038	0.9062
-0.5151	-0.6801	-0.1527	0.9697	-0.7925	1.394	0.2277	0.1052	0.9098
-0.5208	-0.6683	-0.1397	0.9731	-0.7631	1.4373	0.2169	0.1052	0.9125
-0.5117	-0.6681	-0.1405	0.9759	-0.7885	1.4398	0.2253	0.1021	0.9183
-0.5178	-0.6805	-0.1456	0.9697	-0.7587	1.4426	0.2148	0.0972	0.9196
-0.5179	-0.6684	-0.1424	0.9725	-0.7918	1.4346	0.2238	0.0973	0.9133
-0.5134	-0.6823	-0.1508	0.9723	-0.8019	1.4307	0.2187	0.1033	0.8435
0.8603	-0.6083	1.181	-1e-04	0.3541	0.6943	-0.0066	-1.6527	0.5799
0.9458	-1.5158	1.237	0.3312	0.2479	0.6034	0.0114	-1.4152	0.7587
0.9568	-1.5151	1.2243	0.3529	0.2952	0.604	0.0116	-1.5242	0.7594
-0.1869	-0.2256	0.1572	0.1844	0.3301	0.4256	0.0866	-0.2305	-0.1377
-0.3984	-2.2253	0.1291	0.0119	0.0124	0.6866	-0.0708	-0.0269	-0.057
-0.4605	-3.3352	0.0554	0.1795	-0.1737	0.8713	-0.0328	0.046	-0.052
-0.4005	0.007	0.3919	0.1035	-1.131	-0.0504	0.3074	-0.3392	0.5082
0.7778	0.4508	0.0072	1.0735	-0.5387	-1.2923	-0.0078	-0.1474	-0.3597
0.7656	0.3758	-0.0975	1.7176	-0.3119	-1.5617	0.4165	-0.3553	0.2165
-0.4774	0.1016	-0.4627	0.6712	-0.1335	-0.9187	-0.3654	-0.008	-0.0303
0.303	0.3888	-0.3668	-0.8377	-0.2879	-1.1892	-0.7119	0.2118	-0.0985
-0.4421	0.2553	-0.4872	-0.3337	-0.1726	-0.9323	-0.6428	0.2312	-0.1054
1.0872	0.0068	0.0218	-0.1202	-0.3121	-0.7313	0.2704	0.0249	-0.1345
1.0869	-0.0299	0.0149	-0.1172	-0.355	-0.731	0.2635	0.0345	-0.1668
1.0856	-0.0388	0.0334	-0.1199	-0.3193	-0.7255	0.2783	0.0211	-0.1377
1.0749	0.3632	-1.0617	-0.1777	-0.3259	-1.9892	-2.0441	0.3875	-0.2069
1.0757	0.3674	-0.9962	-0.1717	-0.3198	-1.9849	-2.048	0.2933	-0.1978
0.1128	0.0342	-0.4519	0.6582	-2.0784	-0.2811	2.0576	-0.4814	-1.9783
1.475	-0.0429	0.3953	0.2631	-0.5766	0.3952	-0.8437	0.7178	0.1085
0.4068	0.4047	-3.4462	1.0191	1.8785	-0.422	0.5024	0.8072	-2.7415
-11.7774	-2.254	5.589	-0.1066	3.5544	7.2857	-2.1516	0.1463	8.2276
