"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.7147	0.0972	0.7144	0.6915	0.6809	0.6255	0.7367	0.7077	0.759
0.102	0.1017	0.0939	0.0991	0.3691	0.0981	0.0957	0.0949	0.0963
0.0955	0.0912	0.0987	0.0963	0.0904	0.1023	0.4028	0.0996	0.0998
0.3897	0.0945	0.0968	0.0968	0.0918	0.0942	0.0942	0.0999	0.0997
0.0976	0.093	0.0945	0.1043	0.3973	0.0953	0.0927	0.0995	0.0979
0.0992	0.0974	0.0932	0.0935	0.0983	0.3402	0.0934	0.0949	0.1014
0.4098	0.0894	0.0948	0.0935	0.0917	0.0992	0.0993	0.0988	0.0924
0.1036	0.0984	0.0984	0.0973	0.0956	0.3146	0.0968	0.0981	0.0948
0.0989	0.0956	0.411	0.0991	0.0941	0.0961	0.1004	0.0946	0.0987
0.0931	0.0979	0.4033	0.0995	0.1036	0.097	0.0956	0.0956	0.0921
0.0957	0.0962	0.0985	0.0987	0.0916	0.0915	0.0991	0.3707	0.0989
0.5979	0.5816	0.7464	0.5449	0.6455	0.0959	0.0999	0.0974	0.0978
0.0965	0.0955	0.7292	0.0982	0.6163	0.347	0.0943	0.0944	0.094
0.4271	0.1006	0.7298	0.0932	0.6336	0.0969	0.0987	0.0997	0.0961
0.1064	0.7009	0.7306	0.6812	0.6703	0.6367	0.7014	0.6751	0.684
0.6769	0.0968	0.7651	0.7419	0.7035	0.6326	0.7268	0.6871	0.7444
0.6976	0.0947	0.7858	0.7012	0.6535	0.6214	0.7572	0.6667	0.7462
0.1017	0.0963	0.0931	0.1001	0.6367	0.5528	0.0979	0.6533	0.0947
0.0978	0.5441	0.0977	0.1012	0.095	0.1021	0.6218	0.527	0.0947
0.0984	0.0964	0.0935	0.0963	0.0944	0.4826	0.1001	0.0986	0.0916
0.0992	0.0989	0.5833	0.1026	0.5663	0.4868	0.5926	0.5456	0.1021
0.5664	0.0952	0.6021	0.5817	0.5887	0.4827	0.6014	0.5525	0.6044
0.1007	0.5953	0.567	0.0984	0.5749	0.5828	0.5418	0.5643	0.6396
0.0968	0.0988	0.0933	0.0996	0.0934	0.0968	0.3792	0.0999	0.574
0.0954	0.0938	0.0983	0.0931	0.3927	0.0895	0.0975	0.0942	0.5896
0.0894	0.0916	0.099	0.1024	0.4086	0.0948	0.1025	0.0938	0.5993
0.1037	0.0922	0.098	0.0935	0.0913	0.0975	0.0925	0.0939	0.3928
0.0994	0.1	0.4163	0.1002	0.0951	0.0941	0.0922	0.0996	0.1004
0.7406	0.0933	0.7047	0.0945	0.0992	0.5643	0.0965	0.6654	0.0988
0.0945	0.7193	0.7251	0.0941	0.688	0.5958	0.7575	0.714	0.8097
0.1038	0.099	0.678	0.7246	0.7049	0.6261	0.7749	0.7271	0.7932
9.0286	0.0997	3.5328	4.9799	0.1052	3.5319	0.0984	3.92	4.6496
0.0965	0.0922	4.318	0.1014	0.1004	2.8194	3.9033	3.3429	0.612
0.6249	0.0968	4.3574	0.096	0.583	2.7924	3.9069	3.3049	0.0965
