"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.6706	1.1478	0.2129	-1.4221	0.6436	-0.1602	-1.388	0.1784	1.4915
0.6919	1.0255	0.2038	-1.4362	0.6279	-0.1762	-1.3355	0.1506	1.5481
1.0303	3.1825	1.2737	1.2684	0.5121	0.0258	-0.3879	-1.0306	-1.073
-0.0592	0.0711	-0.0653	0.022	0.8861	0.2538	-1.2861	0.6095	-0.6141
-0.1447	-0.239	0.1553	0.2157	-0.0409	0.3951	0.0954	-0.3073	-0.0041
0.6722	4.1371	0.8659	-0.9287	0.4291	4.1937	1.0642	1.0326	-4.8172
-0.472	-0.6836	-0.1131	1.0258	-0.7686	1.4427	0.3161	0.0236	0.9457
-0.4789	-0.6878	-0.1034	1.0296	-0.7677	1.4426	0.2857	0.0144	0.9402
-0.4683	-0.6967	-0.1032	1.0252	-0.7628	1.3901	0.3146	0.0268	0.9505
-0.4713	-0.6943	-0.1065	1.0297	-0.7647	1.4439	0.3024	0.0185	0.9423
-0.477	-0.6853	-0.1037	1.0281	-0.779	1.4476	0.3124	0.0251	0.9439
-0.4658	-0.6994	-0.0951	1.0174	-0.7697	1.4446	0.3094	0.0201	0.9503
-0.4622	-0.6911	-0.1061	1.0246	-0.7688	1.4512	0.3135	0.0157	0.9462
-0.468	-0.6913	-0.1057	1.0217	-0.7625	1.4356	0.3154	-0.0064	0.943
-0.4453	-0.6972	-0.1023	1.0278	-0.7614	1.4422	0.3073	0.0157	0.9305
-0.4693	-0.6814	-0.1082	1.0287	-0.7698	1.4368	0.3117	0.0163	0.9395
0.8238	-0.4904	1.1596	0.3537	0.6563	0.6899	0.0944	-1.6837	0.7637
0.9889	-1.4204	1.0916	0.4092	0.3905	0.5965	0.1212	-1.2232	0.7994
0.9711	-1.418	1.0651	0.4155	0.4018	0.5885	0.1125	-1.2425	0.798
-0.1427	-0.2671	0.0662	0.1132	0.1428	0.3653	-0.009	-0.2685	0.0442
-0.3265	-3.0245	-0.0985	0.3003	-0.3307	0.4211	0.1867	0.2466	0.4659
-0.3215	-2.7397	-0.0882	0.121	-0.2315	0.4068	0.1329	0.2922	0.4508
-0.3661	-0.1087	0.435	0.2051	0.393	0.2996	-0.3398	-0.1236	0.5735
0.1205	0.2953	-0.2176	1.1163	-0.5205	-1.3318	0.0687	-0.2154	-0.2661
0.7902	0.218	-0.036	1.7337	-0.3258	-1.6134	0.489	-0.4272	0.2815
-0.4006	1.0826	-0.1803	0.7491	-0.1658	-1.1718	-0.0495	-0.2861	-0.2508
0.3844	-0.3065	-0.2321	0.5121	-0.3724	-1.1464	-0.1475	0.0125	0.0483
-0.3967	0.1204	-0.3145	-0.1997	-0.2374	-1.0756	-0.3373	0.2003	-0.0624
1.1215	-0.1278	0.057	-0.0048	-0.3287	-0.7584	0.3598	-0.0531	0.0483
1.1227	-0.1394	0.0713	0.0503	-0.3258	-0.76	0.3537	-0.0554	0.0506
1.1279	-0.1362	0.0611	-0.0033	-0.321	-0.7558	0.2941	-0.0477	0.0676
1.1075	0.2066	-0.9612	-0.0394	-0.3314	-2.0512	-1.7526	0.2149	-0.118
1.1025	0.2029	-1.0515	0.1221	-0.322	-2.0488	-1.7523	0.2096	-0.1142
-0.2609	0.1997	-0.3918	0.7291	-1.9847	-0.6096	1.9969	-0.7541	-1.7972
1.5302	-1.4716	-0.1173	0.322	0.7544	0.1839	-1.2349	0.7472	-0.2954
-1.39	-0.5729	-1.2483	1.0598	1.5806	-0.2607	0.066	1.1482	-2.5611
13.1491	-12.2335	-3.7528	0.0068	-0.1247	-9.6233	-1.8629	18.4414	2.1505
-0.0718	-0.026	-6.9225	0.3725	-1.0835	2.8451	0.7335	-6.5891	-0.3174
-0.0529	0.5271	-6.7616	0.0641	0.5648	2.5448	0.5286	-6.6207	0.0852
0.0074	-0.0445	0.104	-0.515	0.3051	-0.4844	-0.5164	0.6164	-1.3282
1.2092	-1.1305	0.7224	0.2835	0.6874	-0.1111	0.5072	-0.832	0.8737
0.3645	-0.3068	0.8695	0.3869	1.1651	0.1903	0.6108	-1.3037	0.5478
1.927	0.2422	0.3865	-2.9819	1.0413	0.3323	-0.7366	0.7105	0.3352
1.6123	0.2436	0.329	-3.455	1.0427	0.3571	-0.8752	0.8753	0.2903
0.9655	0.6581	0.5664	1.3738	-0.3327	0.3425	0.4422	-0.4191	-0.1244
0.6685	0.1422	0.6038	0.0802	0.9466	0.5504	-0.1653	0.8084	0.3534
0.6655	0.1346	0.6011	0.078	0.9446	0.5417	-0.1122	0.8051	0.3939
0.838	0.5264	0.4708	-0.3287	0.7302	0.3299	-0.1216	0.063	0.2051
0.2197	0.345	1.8749	-0.4424	0.223	-0.8964	-2.3139	1.4308	-0.2803
0.2159	0.3142	1.8742	-0.4201	0.2259	-0.8903	-2.31	1.4345	-0.295
0.5757	-0.5501	0.604	0.9122	-0.2951	0.344	0.5732	0.8125	3.929
-0.5503	-0.9147	0.7978	1.3076	0.2171	1.3597	-0.274	0.4128	0.5047
-0.5478	-0.9261	0.7967	1.3032	0.2264	1.3546	-0.2781	0.4155	0.4974
-0.5461	-0.9093	0.8074	1.2993	0.2253	1.3591	-0.2782	0.4194	0.5229
-0.5471	-0.9149	0.7937	1.2947	0.1814	1.3449	-0.2769	0.4173	0.5132
-0.5426	-0.9189	0.7993	1.3022	0.2254	1.3609	-0.2776	0.3827	0.5171
-0.0405	-3.5284	0.5332	0.403	-1.5311	0.3147	0.5695	1.3599	4.1835
-0.0537	-3.5204	0.5273	0.4054	-1.4357	0.2893	0.5738	1.3639	4.2327
-0.0787	-0.0208	0.9404	-0.0996	-0.0094	0.1928	-1.7716	1.6867	0.7958
0.0564	0.8986	-0.2166	0.9808	-1.0526	-1.8671	1.3029	-0.815	0.8473
0.0587	0.7999	-0.2042	0.9749	-1.0628	-1.8768	1.2888	-0.8155	0.8568
0.0735	0.8992	-0.2026	0.985	-1.061	-1.8747	1.2981	-0.8114	0.8513
0.0685	0.8923	-0.2046	0.9176	-1.0653	-1.8736	1.2876	-0.811	0.8584
0.0592	0.7859	-0.2022	0.9792	-1.0564	-1.8697	1.279	-0.8157	0.8564
1.1732	-0.0981	1.3312	0.4158	1.5217	-1.4033	0.5478	-1.8196	-0.3423
-0.2184	0.8993	-0.2826	0.1675	0.5082	-0.028	0.1399	-0.15	0.1045
-8.8369	-2.3334	-0.9437	-0.4146	1.2785	-6.301	1.8802	-5.6527	7.5646
-0.3309	-0.0012	0.667	0.5636	-0.7353	-0.7771	1.82	-1.5712	-1.8301
-0.6153	-0.0436	-0.9049	0.1997	0.699	0.7816	-0.8664	0.5562	-0.0766
-2.0647	0.7928	-1.8717	-0.1964	0.7273	0.2691	-0.9553	0.7051	-0.2838
0.4364	0.3962	-0.8249	0.1724	0.718	0.77	-0.8254	0.3758	-0.1791
-0.7045	-1.2864	-0.5603	1.3036	1.2434	1.3482	-1.0087	0.6349	-0.0348
-0.7118	-1.2828	-0.5621	1.3121	1.2428	1.3667	-1.0079	0.5533	-0.0965
-0.8248	1.2952	-0.8748	-1.9701	1.1075	0.7494	-1.3489	0.8251	-0.2816
-0.3828	-0.0149	0.0449	-0.478	-0.5281	1.9218	0.9993	11.5081	-9.0122
0.6206	0.4035	-0.0256	0.9827	-0.1669	-0.0221	0.7574	-0.4257	1.1016
0.0869	0.6591	0.1928	-0.967	-0.038	0.6251	-0.9115	0.3042	-0.4802
0.1557	0.7	0.0179	-0.4845	1.1639	0.4088	-0.4003	0.0731	0.9161
-0.2835	1.5601	0.4289	-0.2849	0.2265	-0.0633	-0.3506	0.3084	-0.3766
0.7461	-1.0541	-0.0662	1.5212	-0.7676	0.8324	-0.9615	0.7599	-0.4171
0.75	-1.0441	-0.085	1.5258	-0.7448	0.8369	-0.9552	0.7654	-0.4296
0.7542	-1.0474	-0.0864	1.5213	-0.7454	0.8415	-0.9591	0.7693	-0.4251
0.7434	-1.0373	-0.0823	1.5165	-0.7651	0.8377	-0.9568	0.7024	-0.439
0.7473	-1.047	-0.0832	1.5214	-0.7671	0.8271	-0.9474	0.6784	-0.4689
0.747	-1.0345	-0.0901	1.5204	-0.766	0.8379	-0.9547	0.6627	-0.4616
-0.0789	-0.7571	0.4216	0.8469	-0.7655	1.2994	-1.7119	0.0478	-1.1389
-0.0907	-0.753	0.4221	0.8414	-0.7646	1.3075	-1.7176	0.0537	-1.1373
-0.0887	-0.7626	0.4275	0.8456	-0.7699	1.3034	-1.7109	0.0718	-1.1328
-0.082	-0.75	0.4297	0.8355	-0.6979	1.3006	-1.7154	-0.012	-1.1369
-0.0849	-0.7552	0.427	0.8478	-0.765	1.2605	-1.7142	-0.0086	-1.1424
0.2884	0.6636	0.2443	-0.1277	-0.1571	0.6391	-0.749	0.0814	-0.5694
-0.6426	1.8531	0.3772	-1.5934	0.2524	0.7022	-0.0838	-0.1371	-0.3631
