"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.6234	0.1006	0.7331	0.3991	0.8714	0.7283	0.7069	0.7207	2.16
0.6661	0.4701	0.716	0.0938	0.8681	0.7155	0.7089	0.7011	2.1661
0.0993	0.0929	0.6731	0.6492	0.095	0.6368	0.0993	0.6424	0.0987
0.6663	0.6517	0.6947	0.0957	0.7006	0.6306	0.6552	0.7046	0.6687
0.6922	0.6581	0.6616	0.6257	0.1039	0.6739	0.6735	0.6927	0.6841
0.093	0.0936	2.6378	0.0915	0.0992	5.3524	3.8204	2.6704	5.66
0.0923	0.0997	0.4088	0.0937	0.1003	0.0949	0.0859	0.098	0.0994
0.0948	0.0951	0.0999	0.0987	0.0968	0.3469	0.0925	0.0983	0.0959
0.0979	0.1015	0.0963	0.0943	0.0965	0.1017	0.0992	0.0969	0.3309
0.0942	0.0977	0.3967	0.0978	0.0921	0.0951	0.0959	0.1009	0.0967
0.0967	0.0935	0.3706	0.0943	0.0963	0.1004	0.097	0.0975	0.095
0.0957	0.1008	0.1064	0.096	0.397	0.0943	0.0911	0.1005	0.0986
0.0948	0.0941	0.1001	0.0977	0.0988	0.3695	0.098	0.0982	0.0947
0.0964	0.0951	0.0947	0.3447	0.0954	0.1009	0.0937	0.1007	0.0944
0.0966	0.0946	0.0927	0.1011	0.0973	0.0963	0.0968	0.0975	0.3563
0.0968	0.0982	0.1008	0.3471	0.096	0.0961	0.0912	0.0919	0.0953
0.5426	0.5322	0.6052	0.0983	0.6816	0.0961	0.0937	0.0987	0.5464
0.0999	0.0963	0.583	0.0946	0.6854	0.4334	0.0985	0.0977	0.0955
0.0999	0.0989	0.6084	0.099	0.6927	0.1001	0.0971	0.0989	0.3769
0.099	0.6815	0.6912	0.6329	0.6869	0.6409	0.6319	0.6733	0.6583
0.678	0.7	0.659	0.0943	0.6771	0.6665	0.6287	0.7201	0.7246
0.6521	0.6962	0.7109	0.1029	0.6739	0.6909	0.6519	0.7277	0.713
0.0992	0.0915	0.0959	0.0951	0.6759	0.6655	0.1007	0.6266	0.0984
0.0973	0.0965	0.0923	0.09	0.099	0.1001	0.5402	0.5452	0.4924
0.0975	0.099	0.5832	0.0947	0.0939	0.1011	0.0982	0.0965	0.0971
0.0975	0.0956	0.5754	0.0997	0.0973	0.5904	0.5631	0.5616	0.5509
0.5519	0.4959	0.5926	0.0954	0.6013	0.5571	0.5461	0.596	0.5807
0.0958	0.5353	0.5338	0.0955	0.5598	0.5822	0.5791	0.5093	0.5565
0.1034	0.0991	0.0957	0.0972	0.0937	0.356	0.0976	0.092	0.491
0.0966	0.0974	0.0903	0.0909	0.0941	0.1003	0.0978	0.3867	0.4667
0.1006	0.356	0.0958	0.092	0.0991	0.0995	0.0955	0.0986	0.478
