"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.6699	0.6397	0.7111	0.0946	0.6812	0.6994	0.7733	0.8806	2.584
0.6459	0.6655	0.7272	0.0959	0.7135	0.714	0.7561	0.8888	2.6273
0.0998	0.6199	0.7489	0.0967	0.1005	0.6271	0.0973	0.729	0.0944
0.0983	0.6751	0.6877	0.0961	0.7125	0.675	0.7122	0.6918	0.7882
0.6561	0.6766	0.7755	0.6144	0.0962	0.6795	0.7247	0.6977	0.7109
0.1023	0.0936	0.1019	0.099	3.5994	7.0861	7.6651	3.7729	6.8235
0.1039	0.096	0.0941	0.3309	0.0944	0.0984	0.0972	0.096	0.0988
0.0939	0.0956	0.1	0.3325	0.0999	0.0968	0.1005	0.0926	0.102
0.0969	0.0981	0.1001	0.0986	0.0928	0.09	0.0922	0.3876	0.0938
0.0973	0.3774	0.0952	0.0947	0.0925	0.0959	0.0999	0.0995	0.1002
0.0995	0.3702	0.0968	0.095	0.0969	0.1025	0.1043	0.0983	0.092
0.098	0.0963	0.0951	0.0914	0.0963	0.0963	0.0964	0.0946	0.3878
0.0993	0.0968	0.1012	0.0933	0.0995	0.093	0.1004	0.3922	0.0976
0.0921	0.3815	0.0962	0.1017	0.0923	0.0918	0.0956	0.0979	0.0913
0.0984	0.0988	0.0941	0.0991	0.093	0.3676	0.1001	0.0972	0.0958
0.0932	0.1033	0.0968	0.0886	0.0954	0.0944	0.0991	0.0974	0.4031
0.0996	0.0996	0.7251	0.101	0.66	0.5224	0.1006	0.1053	0.0958
0.5153	0.0975	0.7133	0.0968	0.6531	0.5818	0.5888	0.6293	0.6241
0.5111	0.0983	0.7767	0.0996	0.6747	0.5419	0.582	0.6265	0.5942
0.0929	0.0989	0.7603	0.4384	0.6558	0.0995	0.0985	0.0939	0.091
0.0978	0.1057	0.7635	0.1026	0.627	0.091	0.3681	0.0978	0.0958
0.0953	0.6811	0.7249	0.5926	0.7095	0.7151	0.7166	0.716	0.7589
0.0982	0.0971	0.7258	0.6461	0.646	0.7096	0.771	0.7569	0.7731
0.0968	0.0969	0.7168	0.6487	0.6271	0.7235	0.7977	0.7393	0.7707
0.0947	0.0939	0.089	0.5996	0.1009	0.6261	0.0959	0.6795	0.0977
0.1012	0.0934	0.5877	0.0926	0.0971	0.0972	0.5673	0.5841	0.0993
0.1039	0.0935	0.0957	0.5131	0.0945	0.0879	0.1019	0.1008	0.0923
0.0995	0.5429	0.5703	0.0983	0.096	0.5455	0.5662	0.5805	0.0986
0.5288	0.5354	0.5566	0.0998	0.5486	0.566	0.6038	0.5949	0.5849
0.5923	0.1017	0.6225	0.0991	0.5494	0.5669	0.6105	0.5802	0.5708
0.0931	0.0965	0.0961	0.0959	0.095	0.3927	0.0992	0.097	0.5335
0.092	0.3926	0.0954	0.0924	0.096	0.0994	0.0946	0.0988	0.4972
0.0986	0.0946	0.0938	0.0947	0.1003	0.1021	0.0959	0.3701	0.5314
