"","Taxon","site_code","mean.before.control.0","mean.before.drought.0","mean.after.control.0","mean.after.drought.0","drought.after.before","control.after.before","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"18","AGROSTIS CANINA","lygraold.no",0,1,0,2,1,0,1,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"GRASS","PERENNIAL","GRASS"
"19","AGROSTIS CANINA","lygraint.no",1,1,1,1,0,0,0,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"GRASS","PERENNIAL","GRASS"
"20","AGROSTIS CAPILLARIS","lygraint.no",2,1,1,1,0,-1,1,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,"GRASS","PERENNIAL","GRASS"
"21","AGROSTIS MONTEVIDENSIS","marcdrt.ar",20,25,8,5.5,-19.5,-12,-7.5,NA,0.229358974,NA,12,NA,NA,NA,NA,"FORB","PERENNIAL","GRASS"
"22","AGROSTIS RUPESTRIS","passogavia.it",1.54,0.8,2.5,1.7,0.9,0.96,-0.06,17,0.035,NA,15.5,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"23","AGROSTIS SCABRA","kernb.ca",3.5,2.333333333,3,1.333333333,-1,-0.5,-0.5,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,"GRASS","PERENNIAL","GRASS"
"24","AGROSTIS SCABRA","mattheis.ca",3.5,3,5,3,0,1.5,-1.5,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,"GRASS","PERENNIAL","GRASS"
"37","ANDROPOGON GERARDII","cedartrait.us",13,5,17,6.4,1.4,4,-2.6,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"38","ANDROPOGON GERARDII","cedarsav.us",7.666666667,9.75,17.14285714,8.8,-0.95,9.476190476,-10.42619048,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"39","ANDROPOGON GERARDII","brookdale.ca",19.83333333,9,2.875,2.611111111,-6.388888889,-16.95833333,10.56944445,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"40","ANDROPOGON GERARDII","konzadrt.us",43.2,41,50,53.6,12.6,6.8,5.8,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"41","ANDROPOGON GERARDII","purdue.us",27.375,27.375,18.75,26.66666667,-0.708333333,-8.625,7.916666667,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"44","ANTHOXANTHUM ODORATUM","teshio.jp",12.9,12.75,16.66666667,14.5,1.75,3.766666667,-2.016666667,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"GRASS","PERENNIAL","GRASS"
"45","ANTHOXANTHUM ODORATUM","cowidrt.ca",8.5,7.2,3.333333333,3.4,-3.8,-5.166666667,1.366666667,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"GRASS","PERENNIAL","GRASS"
"46","ANTHOXANTHUM ODORATUM","lygraint.no",1,1,1,0,-1,0,-1,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"GRASS","PERENNIAL","GRASS"
"47","ANTHOXANTHUM ODORATUM","elvadrt.ee",1.666666667,7.666666667,1.333333333,1.5,-6.166666667,-0.333333333,-5.833333333,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"GRASS","PERENNIAL","GRASS"
"48","ANTHOXANTHUM ODORATUM","rhijn.nl",6.666666667,6.666666667,8.75,0,-6.666666667,2.083333333,-8.75,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"GRASS","PERENNIAL","GRASS"
"49","ANTHOXANTHUM ODORATUM","passogavia.it",0.01,0,0.1,0,0,0.09,-0.09,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"GRASS","PERENNIAL","GRASS"
"57","ARISTIDA PURPUREA","cdpt_drt.us",0,5,6,4.333333333,-0.666666667,6,-6.666666667,9.88,0.0735,6.53,6.520633333,1.315133333,0.3626,50.55346667,0.71,"GRASS","PERENNIAL","GRASS"
"58","ARISTIDA PURPUREA","jrnchi.us",2.6915114,0.6081433,1.0141988,0,-0.6081433,-1.6773126,1.0691693,9.88,0.0735,6.53,6.520633333,1.315133333,0.3626,50.55346667,0.71,"GRASS","PERENNIAL","GRASS"
"59","ARISTIDA STRICTA","sand.us",14,23.33333333,26.66666667,27,3.666666667,12.66666667,-9,11.1128167,1.18872,NA,6.79,0.1524,NA,NA,NA,"GRAMINOID","PERENNIAL","GRASS"
"61","ARRHENATHERUM ELATIUS","rhijn.nl",11.83333333,6.333333333,8.333333333,20,13.66666667,-3.5,17.16666667,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"GRASS","PERENNIAL","GRASS"
"78","ASTREBLA LAPPACEA","milparinka.au",25,17.5,21,21,3.5,-4,7.5,16.2306281,0.65,NA,11.43619445,NA,NA,NA,0.25146667,"GRASS","PERENNIAL","GRASS"
"79","ASTREBLA PECTINATA","milparinka.au",19,25,21,21,-4,2,-6,NA,0.63,NA,11.341433,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"84","AVENELLA FLEXUOSA","lygraold.no",1.333333333,3,3,25,22,1.666666667,20.33333333,NA,0.3309,NA,NA,0.75,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"85","AXONOPUS FISSIFOLIUS","yarradrt.au",5.475,5.4,4,0,-5.4,-1.475,-3.925,11.3,0.07836831,NA,16.32,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"90","BOUTELOUA CURTIPENDULA","konzadrt.us",18,21.5,2,3.5,-18,-16,-2,8.7,0.427,8.84,14.60867,0.3048,0.19,94.40056667,0.032,"GRASS","PERENNIAL","GRASS"
"91","BOUTELOUA GRACILIS","nplatte.us",32.5,21,7.571428571,20.8,-0.2,-24.92857143,24.72857143,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,"GRASS","PERENNIAL","GRASS"
"92","BOUTELOUA GRACILIS","cdpt_drt.us",11.66666667,10.66666667,15,12.83333333,2.166666667,3.333333333,-1.166666667,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,"GRASS","PERENNIAL","GRASS"
"93","BOUTELOUA GRACILIS","mattheis.ca",15.4,18,25,26,8,9.6,-1.6,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,"GRASS","PERENNIAL","GRASS"
"94","BOUTELOUA GRACILIS","cedartrait.us",2,1.5,0,8,6.5,-2,8.5,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,"GRASS","PERENNIAL","GRASS"
"95","BRACHIARIA SERRATA","ukulingadrt.za",25,0,4,0,0,-21,21,12.4209428,NA,NA,28.49,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"98","BRACHYPODIUM PINNATUM","allmendb.ch",12,9.75,18.58333333,13,3.25,6.583333333,-3.333333333,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,"GRASS","PERENNIAL","GRASS"
"99","BRACHYPODIUM PINNATUM","allmendo.ch",6.25,5.833333333,3.583333333,6.083333333,0.25,-2.666666667,2.916666667,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,"GRASS","PERENNIAL","GRASS"
"100","BRACHYPODIUM RETUSUM","ebro.es",0.85085,0,0.863067333,0,0,0.012217333,-0.012217333,7.1,0.4,NA,12.40924826,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"105","BRIZA MEDIA","allmendb.ch",3.333333333,4.166666667,2.5,2.5,-1.666666667,-0.833333333,-0.833333333,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,"GRASS","PERENNIAL","GRASS"
"106","BRIZA MEDIA","allmendo.ch",1.666666667,2.666666667,1.833333333,2.416666667,-0.25,0.166666667,-0.416666667,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,"GRASS","PERENNIAL","GRASS"
"107","BRIZA MEDIA","elvadrt.ee",21.66666667,23.33333333,23.33333333,25,1.666666667,1.666666667,3.55e-15,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,"GRASS","PERENNIAL","GRASS"
"112","BROMUS ERECTUS","allmendo.ch",17.25,16.5,22.83333333,15.66666667,-0.833333333,5.583333333,-6.416666667,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,"GRASS","PERENNIAL","GRASS"
"113","BROMUS ERECTUS","allmendb.ch",18,26.25,17.25,22.08333333,-4.166666667,-0.75,-3.416666667,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,"GRASS","PERENNIAL","GRASS"
"117","BROMUS INERMIS","brookdale.ca",9.666666667,11.25,3.1,3.65,-7.6,-6.566666667,-1.033333333,21.49936399,0.81,17.20145333,17.7899321,0.3048,0.268601793,108.7724975,0.281416667,"GRASS","PERENNIAL","GRASS"
"124","BROMUS SETIFOLIUS","paike.ar",0,2.5,0,2.5,0,0,0,20,0.102,NA,20.31,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"131","CALAMAGROSTIS EPIGEIOS","teshio.jp",61.66666667,53.5,60.3,57.1,3.6,-1.366666667,4.966666667,17.43326,1.396,6.6,18.65,NA,NA,57.46375,NA,"GRASS","PERENNIAL","GRASS"
"178","CHONDROSUM ERIOPODUM","sevblue.us",2.975,20,1.65,4.808333333,-15.19166667,-1.325,-13.86666667,14.8969364,0.6096,NA,18.54844313,NA,NA,NA,0.03,"GRAMINOID","PERENNIAL","GRASS"
"179","CHONDROSUM ERIOPODUM","sevmixed.us",12.69285714,19.17857143,11.41428571,7.342857143,-11.83571429,-1.278571429,-10.55714286,14.8969364,0.6096,NA,18.54844313,NA,NA,NA,0.03,"GRAMINOID","PERENNIAL","GRASS"
"180","CHONDROSUM ERIOPODUM","sevblack.us",19.40714286,22.14285714,18.09285714,7.428571429,-14.71428571,-1.314285714,-13.4,14.8969364,0.6096,NA,18.54844313,NA,NA,NA,0.03,"GRAMINOID","PERENNIAL","GRASS"
"181","CHONDROSUM ERIOPODUM","jrnchi.us",14.49760331,15.41230289,4.50248912,0.781912217,-14.63039067,-9.99511419,-4.635276483,14.8969364,0.6096,NA,18.54844313,NA,NA,NA,0.03,"GRAMINOID","PERENNIAL","GRASS"
"182","CHONDROSUM ERIOPODUM","jorndrt.us",39.33333333,29.66666667,31.66666667,27.33333333,-2.333333333,-7.666666667,5.333333333,14.8969364,0.6096,NA,18.54844313,NA,NA,NA,0.03,"GRAMINOID","PERENNIAL","GRASS"
"183","CHONDROSUM GRACILE","sevmixed.us",7.833333333,6.8,4.975,1.65,-5.15,-2.858333333,-2.291666667,15.9806955,0.202828111,NA,15.34680195,NA,NA,NA,0.036,"GRAMINOID","PERENNIAL","GRASS"
