,site_code,Taxon,mean.before.control,mean.before.drought,mean.after.control,mean.after.drought
751,kiskun.hu,HOLOSTEUM UMBELLATUM,0.01,0.01,0.702,0.04
756,kiskun.hu,SALSOLA KALI,0.01,0.01,NA,NA
1057,passogavia.it,PERSICARIA VIVIPARA,1.025,0.02,1.05,0.1
1049,passogavia.it,EUPHRASIA MINIMA,0.1125,0.023333333,0.0125,0.01
934,nnss.us,CHORIZANTHE RIGIDA,0.296333533,0.0681663,0.3472222,0.2061856
466,ebro.es,TEUCRIUM CAPITATUM,0.564906222,0.072867667,1.137641351,0.152425778
1051,passogavia.it,GNAPHALIUM SUPINUM,0.055,0.1,0.053333333,0.075
457,ebro.es,HELICHRYSUM STOECHAS,0.027052667,0.109083334,0.0281435,0.2258025
463,ebro.es,POLYGALA RUPESTRIS,0.014544445,0.125664,0.191550334,0.494511111
683,jrnchi.us,PHEMERANTHUS AURANTIACUS,0.0685871,0.1368925,NA,NA
952,nnss.us,MONOPTILON BELLIDIFORME,0.1191883,0.13729085,0.1546705,0.3436426
957,nnss.us,VULPIA OCTOFLORA,0.2073287,0.13819435,NA,NA
935,nnss.us,CHYLISMIA CLAVIFORMIS,0.2020202,0.1612391,0.2053388,0.2083333
939,nnss.us,CRYPTANTHA PTEROCARYA,0.64898376,0.22843085,NA,NA
761,kiskun.hu,SYRENIA CANA,0.17,0.25,0.1,0.15
4,allmendb.ch,ASPERULA CYNANCHICA,0.25,0.25,0.25,0.25
37,allmendb.ch,TRIFOLIUM MONTANUM,0.25,0.25,1,0.25
58,allmendo.ch,LOTUS CORNICULATUS,0.75,0.25,0.625,0.375
18,allmendb.ch,GLOBULARIA VULGARIS,1.583333333,0.25,1.75,0.375
71,allmendo.ch,TRIFOLIUM MONTANUM,1.083333333,0.25,0.666666667,0.5
61,allmendo.ch,POLYGALA VULGARIS,NA,0.25,0.375,0.5
60,allmendo.ch,PLANTAGO LANCEOLATA,0.416666667,0.25,0.75,0.75
49,allmendo.ch,EUPHORBIA CYPARISSIAS,2.25,0.25,2.25,1.75
956,nnss.us,SCHISMUS ARABICUS,0.3067008,0.25714855,2.27615137,0.320392533
948,nnss.us,LOESELIASTRUM SCHOTTII,0.0685167,0.27351615,0.389588286,0.0687285
1313,yarradrt.au,SENECIO MADAGASCARIENSIS,0.5,0.3,2,15
28,allmendb.ch,PLANTAGO LANCEOLATA,0.25,0.375,0.25,1
52,allmendo.ch,GLOBULARIA VULGARIS,0.375,0.375,0.583333333,1.333333333
942,nnss.us,ERIOGONUM MACULATUM,1.5137421,0.3792902,1.562988243,0.6872779
1062,passogavia.it,PRIMULA GLUTINOSA,0.6,0.4,0.98,0.75
684,jrnchi.us,PHYSALIS HEDERIFOLIA,0.69929288,0.41075845,0.44768225,0.0687285
936,nnss.us,CRYPTANTHA CIRCUMSCISSA,0.19404304,0.41422252,1.06477779,0.27386215
70,allmendo.ch,THYMUS SERPYLLUM,1,0.416666667,1.5,1.833333333
62,allmendo.ch,POTENTILLA GRANDIFLORA,1.75,0.416666667,5.25,3.25
459,ebro.es,HERNIARIA FRUTICOSA,0.589631778,0.464549556,0.857831333,0.613775556
930,nnss.us,BROMUS RUBENS,0.319339489,0.4770241,2.98615225,0.48253192
943,nnss.us,ERIOPHYLLUM PRINGLEI,0.58499523,0.4966975,1.57694249,0.154395725
85,baddrt.de,GALIUM APARINE,0.26,0.5,0.07,0.1
202,cdpt_drt.us,MACHAERANTHERA PINNATIFIDA,0.5,0.5,0.3,0.1
13,allmendb.ch,CREPIS BIENNIS,0.25,0.5,1.75,0.5
153,capmcd.us,DICHELOSTEMMA CAPITATUM,0.5,0.5,0.5,0.5
409,credoj.au,MAIREANA TRICHOPTERA,0.5,0.5,0.5,0.5
432,credom.au,GOODENIA MIMULOIDES,0.5,0.5,0.5,0.5
435,credom.au,MAIREANA TRICHOPTERA,0.5,0.5,0.5,0.5
545,falls.au,VIOLA BETONICIFOLIA,0.5,0.5,0.5,0.5
552,gmgranite.us,ERIOGONUM MACULATUM,0.5,0.5,0.5,0.5
565,gmmolar.us,CAMISSONIA PALMERI,0.5,0.5,0.5,0.5
566,gmmolar.us,CENTROSTEGIA THURBERI,0.5,0.5,0.5,0.5
611,jilpanger.au,BLENNOSPORA DRUMMONDII,0.5,0.5,0.5,0.5
622,jilpanger.au,Centrolepis STRIGOSA,0.5,0.5,0.5,0.5
