"","Taxon","site_code","mean.after.control.0","mean.after.drought.0","mean.before.control.0","mean.before.drought.0","drought.after.before","control.after.before","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"2","ACAENA ECHINATA","jilpanger.au",5.3,0.5,1.8,0.5,0,3.5,-3.5,NA,0.17865,NA,13.19,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"3","ACAENA PINNATIFIDA","paike.ar",0,1,0,1,0,0,0,NA,0.025,NA,9.38,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"4","ACHILLEA MILLEFOLIUM","matador.ca",0.5,1,0.75,0.5,0.5,-0.25,0.75,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"5","ACHILLEA MILLEFOLIUM","brookdale.ca",1,1.5,5,5,-3.5,-4,0.5,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"6","ACHILLEA MILLEFOLIUM","allmendo.ch",1.25,0.75,0.75,1.375,-0.625,0.5,-1.125,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"7","ACHILLEA MILLEFOLIUM","jenadrt.de",19,0,0,0,0,19,-19,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"8","ACHILLEA MILLEFOLIUM","cedartrait.us",1,1,3.5,1,0,-2.5,2.5,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"9","ACHILLEA MILLEFOLIUM","cmss.us",2,0,0,20,-20,2,-22,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"10","ACHILLEA MILLEFOLIUM","kinsella.ca",5,15,0,0,15,5,10,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"11","ACHILLEA MILLEFOLIUM","bayrdrt.de",2,25,0,0,25,2,23,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"12","ACHILLEA MILLEFOLIUM","kernb.ca",1.333333333,2.666666667,1,2,0.666666667,0.333333333,0.333333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"13","ACHILLEA MILLEFOLIUM","allmendb.ch",1.833333333,1.25,1.333333333,1.875,-0.625,0.5,-1.125,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"14","ACHILLEA MILLEFOLIUM","rhijn.nl",1,0,1,0,0,0,0,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"15","ACHILLEA MILLEFOLIUM","kernnu.ca",0.5,0,0.5,0,0,0,0,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"16","ACHILLEA MILLEFOLIUM","oreac.us",2.666666667,1.833333333,4.833333333,0.666666667,1.166666667,-2.166666667,3.333333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"17","ACHILLEA MILLEFOLIUM","elvadrt.ee",2,6.666666667,5,3.666666667,3,-3,6,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"18","ACHILLEA MILLEFOLIUM","hard.us",1,2,0,6.25,-4.25,1,-5.25,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"21","ACTINOBOLE ULIGINOSUM","cobar.au",0,0,1,1,-1,-1,0,NA,0.015,NA,18.35659068,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
