Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,Notes,Citation,,,,
ACACIA TETRAGONOPHYLLA,39.75775398,NA,NA,6.689844518,0.1056,NA,20.30769,NA,"leafN, SLA from TRY",,,,,
ACAENA ECHINATA,NA,0.17865,NA,13.19,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
ACAENA PINNATIFIDA,NA,0.025,NA,9.38,NA,NA,NA,NA,"height, SLA from Barros et al. 2020 J. Env. Management",,,,,
ACHILLEA MILLEFOLIUM,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"RTD, Diam from Justin",depth from try,"leafN, rootN, SLA, SRL from Laughlin2010","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220",,
ACMISPON STRIGOSUS,29.9,0.0756,NA,21.8,NA,NA,NA,NA,"leafN, height, SLA from Justin",,,,,
ACTINOBOLE ULIGINOSUM,NA,0.015,NA,18.35659068,NA,NA,NA,NA,"height, SLA TRY",,,,,
AGASTACHE FOENICULUM,14.7,NA,NA,15.29,0.124,0.18,56.33396667,0.42,"diam, RTD, depth, SRL from Groot",leafN from TRY,SLA from Craine et al. 2003 Oikos,,,
AGOSERIS GLAUCA,17.172,0.1183,8.85,19.71405909,0.1524,0.12631018,56.33396327,NA,"SRL, rootN from Groot","leafN, height, SLA, from Laughlin2010",RTD from Blonder et al. 2018 J. Ecol,,,
AGRIMONIA EUPATORIA,14.78,0.087,NA,13.66,1.55,0.1143,NA,NA,"leafN, SLA, height PI data",,,,,
AGROPYRON CRISTATUM,15.25,0.4498,9.53,13.44438801,0.4572,0.483923882,39.92666667,0.128451606,"leafN, height, SLA, depth from TRY","rootN,SRL, diam from groot",RTD from Cahill 2020 ERA ,,,
AGROSTIS CANINA,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"leafN, height, rootN, SLA, depth, diam from TRY",,,,,
AGROSTIS CAPILLARIS,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,"RTD, SRL from groot","leafN, height, rootN, SLA, depth,diam from TRY",,,,
AGROSTIS GIGANTEA,16.68362281,0.94615,NA,25.95773333,0.3556,NA,NA,NA,"height, SLA, depth from TRY",leafN from Mori_lab_Teshio,,,,
AGROSTIS MONTEVIDENSIS,NA,0.229358974,NA,12,NA,NA,NA,NA,SLA from Cruz et al. 2019 Ecologia Austral,height from TRY,,,,
AGROSTIS RUPESTRIS,17,0.035,NA,15.5,NA,NA,NA,NA,leafN from FIFTH database 11258_2010_9753_MOESM1_ESM,"height, SLA from TRY",,,,
AGROSTIS SCABRA,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,"Diam, RootN, RTD, SRL from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA, depth from TRY",,,
AGROSTIS STOLONIFERA,31.5111841,0.414942857,6.2,31.65060428,0.3048,0.212659866,353.7043306,0.1,"rootN, RTD, SRL from groot",,"leafN, height, SLA, depth, diam from TRY",,,
AIRA CARYOPHYLLEA,19.9,0.155,NA,21.08,NA,NA,NA,0.21,"height, SLA, from TRY",diam from Muller and Bartelheimer 2013 Plant Soil,,,,
AIRA ELEGANTISSIMA,NA,0.45,NA,25.838354,0.066,NA,NA,0.228,"Diam, Depth, from Groot","height, SLA from Austraits",,,,
ALCHEMILLA PENTAPHYLLEA,37,0.07,NA,21,NA,NA,NA,NA,"leafN, SLA from FIFTH database 11258_2010_9753_MOESM1_ESM",height from Carmona et al. 2021 Sci Adv.,,,,
ALKANNA TINCTORIA,11.2,0.4,NA,31.44654088,NA,NA,NA,NA,"leafN, SLA from TRY",height from Carmona et al. 2021 Sci Adv,,,,
ALLIONIA INCARNATA,NA,0.4,NA,21.88917424,0.4,NA,10.31,0.665,"rootDiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from Stromberg et al. 2013 J. Arid Environments,height and SRL from Rolhauser and Pucheta 2017 Ecology,SLA from TRY,,
ALLIUM ACUMINATUM,NA,0.3048,NA,8.45,0.1524,NA,NA,NA,"height, depth from TRY",,,,,
