"","site_code","Taxon","mean.before.control","mean.before.drought","mean.after.control","mean.after.drought"
"1","allmendb.ch","ACHILLEA MILLEFOLIUM",1.33333333333333,1.875,1.83333333333333,1.25
"2","allmendb.ch","AGRIMONIA EUPATORIA",NA,0.25,NA,NA
"3","allmendb.ch","ANTHYLLIS VULNERARIA",0.75,NA,0.75,NA
"4","allmendb.ch","ASPERULA CYNANCHICA",0.25,0.25,0.25,0.25
"5","allmendb.ch","BRACHYPODIUM PINNATUM",12,9.75,18.5833333333333,13
"6","allmendb.ch","BRIZA MEDIA",3.33333333333333,4.16666666666667,2.5,2.5
"7","allmendb.ch","BROMUS ERECTUS",18,26.25,17.25,22.0833333333333
"8","allmendb.ch","CAREX CARYOPHYLLEA",10.75,16.5,10.8333333333333,16.5
"9","allmendb.ch","CAREX FLACCA",4.25,NA,4.375,0.25
"10","allmendb.ch","CARLINA VULGARIS",0.25,0.5,0.25,NA
"11","allmendb.ch","CENTAUREA JACEA",1.91666666666667,1.5,2.33333333333333,1.5
"12","allmendb.ch","CENTAUREA SCABIOSA",5.5,6.08333333333333,5.16666666666667,7.25
"13","allmendb.ch","CREPIS BIENNIS",0.25,0.5,1.75,0.5
"14","allmendb.ch","ECHIUM VULGARE",NA,1.75,0.25,0.375
"15","allmendb.ch","EUPHORBIA CYPARISSIAS",NA,3.25,0.25,2
"16","allmendb.ch","FESTUCA OVINA",3.5,0.625,2.25,0.833333333333333
"17","allmendb.ch","GALIUM VERUM",3.75,NA,0.833333333333333,NA
"18","allmendb.ch","GLOBULARIA VULGARIS",1.58333333333333,0.25,1.75,0.375
"19","allmendb.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",4.58333333333333,5.41666666666667,6.25,10.8333333333333
"20","allmendb.ch","HELICTOTRICHON PRATENSE",2.66666666666667,2.75,2.75,4.25
"21","allmendb.ch","HIPPOCREPIS COMOSA",7.5,5.83333333333333,12.5,10.4166666666667
"22","allmendb.ch","KNAUTIA ARVENSIS",NA,1.5,NA,1.5
"23","allmendb.ch","LEUCANTHEMUM VULGARE",1,0.75,1.375,1.5
"24","allmendb.ch","LINUM CATHARTICUM",4.58333333333333,3.25,2.5,2.08333333333333
"25","allmendb.ch","LOTUS CORNICULATUS",NA,1.91666666666667,0.916666666666667,1.33333333333333
"26","allmendb.ch","PARNASSIA PALUSTRIS",0.25,NA,NA,NA
"27","allmendb.ch","PIMPINELLA SAXIFRAGA",4,2.5,2.5,2.41666666666667
"28","allmendb.ch","PLANTAGO LANCEOLATA",0.25,0.375,0.25,1
"29","allmendb.ch","POTENTILLA GRANDIFLORA",0.375,0.75,0.916666666666667,0.666666666666667
"30","allmendb.ch","PRUNELLA VULGARIS",13.5833333333333,9.16666666666667,17.8333333333333,14.0833333333333
"31","allmendb.ch","RHINANTHUS MINOR",6.66666666666667,5.08333333333333,0.416666666666667,2
"32","allmendb.ch","SALVIA PRATENSIS",1.5,2.375,1.125,3.25
"33","allmendb.ch","SANGUISORBA MINOR",4.5,6.08333333333333,2.66666666666667,2.5
"34","allmendb.ch","SCABIOSA COLUMBARIA",1.33333333333333,1.5,2.58333333333333,1
"35","allmendb.ch","TEUCRIUM CHAMAEDRYS",0.5,14.75,1,5.75
"36","allmendb.ch","THYMUS SERPYLLUM",2.41666666666667,2.16666666666667,2.16666666666667,1.66666666666667
"37","allmendb.ch","TRIFOLIUM MONTANUM",0.25,0.25,1,0.25
"38","allmendb.ch","TRIFOLIUM PRATENSE",0.583333333333333,0.583333333333333,1,0.75
"39","allmendo.ch","ACHILLEA MILLEFOLIUM",0.75,1.375,1.25,0.75
"40","allmendo.ch","ANTHYLLIS VULNERARIA",1,2.16666666666667,0.875,1.5
"41","allmendo.ch","ASPERULA CYNANCHICA",0.375,1.375,0.416666666666667,2.375
"42","allmendo.ch","BRACHYPODIUM PINNATUM",6.25,5.83333333333333,3.58333333333333,6.08333333333333
"43","allmendo.ch","BRIZA MEDIA",1.66666666666667,2.66666666666667,1.83333333333333,2.41666666666667
"44","allmendo.ch","BROMUS ERECTUS",17.25,16.5,22.8333333333333,15.6666666666667
"45","allmendo.ch","CAREX CARYOPHYLLEA",14.1666666666667,15.75,12.4166666666667,14.1666666666667
"46","allmendo.ch","CAREX FLACCA",1.75,5,1.5,1.5
"47","allmendo.ch","CENTAUREA JACEA",1,0.583333333333333,1,2.25
"48","allmendo.ch","CENTAUREA SCABIOSA",3,1.58333333333333,4.125,1.75
"49","allmendo.ch","EUPHORBIA CYPARISSIAS",2.25,0.25,2.25,1.75
"50","allmendo.ch","FESTUCA OVINA",7.08333333333333,7.25,5.41666666666667,7.08333333333333
"51","allmendo.ch","GALIUM VERUM",1.41666666666667,1.375,1.75,0.875
"52","allmendo.ch","GLOBULARIA VULGARIS",0.375,0.375,0.583333333333333,1.33333333333333
"53","allmendo.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",3.66666666666667,4.16666666666667,5.83333333333333,5.41666666666667
