"","Leaf N","Height","Root N","SLA","Rooting Depth","Root Diameter","SRL","RTD","RMF","DSI","Precipitation"
"Leaf N",1,0.142641238662517,0.215625293373192,0.0475418251594838,0.000541862652174396,-0.0398891738453119,0.00350136918558127,-0.166629771898952,-0.0152685191137263,0.110013013186724,0.0573321618132321
"Height",0.142641238662517,1,-0.0466446785053069,0.0751551074029773,0.193504745558987,-0.22854074349388,0.191149975102703,-0.181155973063042,0.131929577125182,0.202236493080528,0.265559405183715
"Root N",0.215625293373192,-0.0466446785053069,1,-0.111034813033064,-0.190895071378042,-0.238553455032423,0.264308223444798,0.0767279390894157,0.136660997131878,0.127572590139664,0.0972702937367433
"SLA",0.0475418251594838,0.0751551074029773,-0.111034813033064,1,0.0942828831122266,0.157695328560415,0.257757194685934,-0.0453106290375849,0.016052871467483,0.14740901301786,0.275910732398169
"Rooting Depth",0.000541862652174396,0.193504745558987,-0.190895071378042,0.0942828831122266,1,0.118511561883158,-0.1586451678675,-0.0401044137006073,0.25518432506817,0.0291861822629821,-0.0812136278330553
"Root Diameter",-0.0398891738453119,-0.22854074349388,-0.238553455032423,0.157695328560415,0.118511561883158,1,-0.303087561333321,-0.309856242782839,-0.134712413213444,0.0210918137706373,-0.138059891590558
"SRL",0.00350136918558127,0.191149975102703,0.264308223444798,0.257757194685934,-0.1586451678675,-0.303087561333321,1,-0.176696328981149,0.135375851380623,0.148188664947059,0.353102498703331
"RTD",-0.166629771898952,-0.181155973063042,0.0767279390894157,-0.0453106290375849,-0.0401044137006073,-0.309856242782839,-0.176696328981149,1,0.0402001109054732,-0.0108702375619095,-0.170000931925754
"RMF",-0.0152685191137263,0.131929577125182,0.136660997131878,0.016052871467483,0.25518432506817,-0.134712413213444,0.135375851380623,0.0402001109054732,1,0.00524834610999046,-0.0320669609558624
"DSI",0.110013013186724,0.202236493080528,0.127572590139664,0.14740901301786,0.0291861822629821,0.0210918137706373,0.148188664947059,-0.0108702375619095,0.00524834610999046,1,0.339136897467518
"Precipitation",0.0573321618132321,0.265559405183715,0.0972702937367433,0.275910732398169,-0.0812136278330553,-0.138059891590558,0.353102498703331,-0.170000931925754,-0.0320669609558624,0.339136897467518,1
