"","Leaf N","Height","Root N","SLA","Rooting Depth","Root Diameter","SRL","RTD","RMF","DSI","Precipitation"
"Leaf N",1,0.0378070181032563,0.330003495516944,0.0038217940217547,0.0204513958563582,-0.0669851180205968,0.0202305734704696,-0.058773717851206,-0.129982554110126,0.0905086317490536,0.00442487251326874
"Height",0.0378070181032563,1,0.0392867419646166,-0.0562001877642939,0.142899717504755,-0.168908613709779,0.0598524874029857,-0.21038326153981,0.0337946419310182,0.0837929144767379,0.0172221092544996
"Root N",0.330003495516944,0.0392867419646166,1,-0.0760672604990015,-0.110773919263413,-0.15108218238649,0.163333043036491,-0.0429148209180718,0.0442172945523067,0.0686179415709516,0.0756069631638587
"SLA",0.0038217940217547,-0.0562001877642939,-0.0760672604990015,1,-0.0826224964045298,0.0865869542921332,0.318315437377492,-0.118122402544413,0.00600184004608468,0.1146967404379,0.151799800076072
"Rooting Depth",0.0204513958563582,0.142899717504755,-0.110773919263413,-0.0826224964045298,1,0.0271248210715397,-0.0840663782008668,0.0495162749966929,0.0699088876185427,0.0230521922282268,-0.0564074891512518
"Root Diameter",-0.0669851180205968,-0.168908613709779,-0.15108218238649,0.0865869542921332,0.0271248210715397,1,-0.208992658408391,-0.244799038905752,-0.0403148780187552,0.0616717506536037,-0.0991373646172834
"SRL",0.0202305734704696,0.0598524874029857,0.163333043036491,0.318315437377492,-0.0840663782008668,-0.208992658408391,1,-0.186819899274776,0.1456637877327,0.0920682421817914,0.0895912632536792
"RTD",-0.058773717851206,-0.21038326153981,-0.0429148209180718,-0.118122402544413,0.0495162749966929,-0.244799038905752,-0.186819899274776,1,-0.0634826433207447,-0.0320153564381525,0.0739162099008098
"RMF",-0.129982554110126,0.0337946419310182,0.0442172945523067,0.00600184004608468,0.0699088876185427,-0.0403148780187552,0.1456637877327,-0.0634826433207447,1,-0.0965799416293206,0.0186173590361615
"DSI",0.0905086317490536,0.0837929144767379,0.0686179415709516,0.1146967404379,0.0230521922282268,0.0616717506536037,0.0920682421817914,-0.0320153564381525,-0.0965799416293206,1,0.0650603208963155
"Precipitation",0.00442487251326874,0.0172221092544996,0.0756069631638587,0.151799800076072,-0.0564074891512518,-0.0991373646172834,0.0895912632536792,0.0739162099008098,0.0186173590361615,0.0650603208963155,1
