"","Leaf N","Height","Root N","SLA","Rooting Depth","Root Diameter","SRL","RTD","RMF","DSI","Precipitation"
"Leaf N",1,0.115391871733326,-0.0674815439108744,0.227433500119113,0.000732379771502345,-0.137666015039973,0.0580082443537995,-0.164265555041133,-0.126126247729018,0.0842870241350346,0.0705569778999071
"Height",0.115391871733326,1,0.138480350266904,-0.194147350276051,0.0409457306091799,-0.231428183126131,0.150584599858923,-0.178175804854611,0.0660291727395879,0.0648529436090974,0.000854808716202356
"Root N",-0.0674815439108744,0.138480350266904,1,0.159484835933691,0.0942750163660776,0.0293111795124215,0.0072348393192119,-0.00237428777857473,0.207244212790515,0.0655880281858452,-0.0774726607475397
"SLA",0.227433500119113,-0.194147350276051,0.159484835933691,1,0.0947966499094519,0.245286901124842,0.159448300680943,-0.240299502014929,0.155224715319529,0.0555696705513037,0.0323943266574312
"Rooting Depth",0.000732379771502345,0.0409457306091799,0.0942750163660776,0.0947966499094519,1,0.09701038900874,0.00763830773029756,-0.0542134763651221,0.175764666969722,0.0751827210524935,-0.0978394251747925
"Root Diameter",-0.137666015039973,-0.231428183126131,0.0293111795124215,0.245286901124842,0.09701038900874,1,-0.339090469262326,0.0637548883746569,-0.230607975840512,0.0684720489811611,-0.0323350710526048
"SRL",0.0580082443537995,0.150584599858923,0.0072348393192119,0.159448300680943,0.00763830773029756,-0.339090469262326,1,-0.467529655908724,0.251591000021779,0.0229707140531286,0.0511653550792044
"RTD",-0.164265555041133,-0.178175804854611,-0.00237428777857473,-0.240299502014929,-0.0542134763651221,0.0637548883746569,-0.467529655908724,1,-0.114690627094969,0.0253147131835172,-0.153606556819636
"RMF",-0.126126247729018,0.0660291727395879,0.207244212790515,0.155224715319529,0.175764666969722,-0.230607975840512,0.251591000021779,-0.114690627094969,1,0.0112183085325329,-0.115187908505004
"DSI",0.0842870241350346,0.0648529436090974,0.0655880281858452,0.0555696705513037,0.0751827210524935,0.0684720489811611,0.0229707140531286,0.0253147131835172,0.0112183085325329,1,-0.0142875365153676
"Precipitation",0.0705569778999071,0.000854808716202356,-0.0774726607475397,0.0323943266574312,-0.0978394251747925,-0.0323350710526048,0.0511653550792044,-0.153606556819636,-0.115187908505004,-0.0142875365153676,1
